;city;hotel_name;hotel_rating;hotel_reviews;hotel_url
0;Lyon;Sofitel Lyon Bellecour;4.0;2456;https://www.tripadvisor.fr/Hotel_Review-g187265-d197060-Reviews-Sofitel_Lyon_Bellecour-Lyon_Rhone_Auvergne_Rhone_Alpes.html
1;Lyon;Hotel Carlton Lyon - MGallery Collection;4.5;1859;https://www.tripadvisor.fr/Hotel_Review-g187265-d232355-Reviews-Hotel_Carlton_Lyon_MGallery_Collection-Lyon_Rhone_Auvergne_Rhone_Alpes.html
2;Lyon;Hotel Le Royal Lyon - MGallery Collection;4.0;1729;https://www.tripadvisor.fr/Hotel_Review-g187265-d232352-Reviews-Hotel_Le_Royal_Lyon_MGallery_Collection-Lyon_Rhone_Auvergne_Rhone_Alpes.html
3;Lyon;Novotel Lyon Confluence Hotel;4.0;1716;https://www.tripadvisor.fr/Hotel_Review-g187265-d2410921-Reviews-Novotel_Lyon_Confluence_Hotel-Lyon_Rhone_Auvergne_Rhone_Alpes.html
4;Lyon;Novotel Lyon Gerland Musée des Confluences;4.0;1171;https://www.tripadvisor.fr/Hotel_Review-g187265-d197061-Reviews-Novotel_Lyon_Gerland_Musee_des_Confluences-Lyon_Rhone_Auvergne_Rhone_Alpes.html
5;Lyon;Mercure Lyon Centre Beaux Arts;4.5;1395;https://www.tripadvisor.fr/Hotel_Review-g187265-d219782-Reviews-Mercure_Lyon_Centre_Beaux_Arts-Lyon_Rhone_Auvergne_Rhone_Alpes.html
6;Lyon;Mercure Lyon Centre - Gare Part Dieu;4.5;1769;https://www.tripadvisor.fr/Hotel_Review-g187265-d2337062-Reviews-Mercure_Lyon_Centre_Gare_Part_Dieu-Lyon_Rhone_Auvergne_Rhone_Alpes.html
7;Lyon;Mercure Lyon Centre Château Perrache;4.0;1406;https://www.tripadvisor.fr/Hotel_Review-g187265-d197066-Reviews-Mercure_Lyon_Centre_Chateau_Perrache-Lyon_Rhone_Auvergne_Rhone_Alpes.html
8;Lyon;Mercure Lyon Centre Saxe Lafayette;4.0;1702;https://www.tripadvisor.fr/Hotel_Review-g187265-d197059-Reviews-Mercure_Lyon_Centre_Saxe_Lafayette-Lyon_Rhone_Auvergne_Rhone_Alpes.html
9;Lyon;Mercure Lyon Centre Plaza Republique;4.0;561;https://www.tripadvisor.fr/Hotel_Review-g187265-d197063-Reviews-Mercure_Lyon_Centre_Plaza_Republique-Lyon_Rhone_Auvergne_Rhone_Alpes.html
10;Lyon;Mercure Lyon Centre Brotteaux;4.0;437;https://www.tripadvisor.fr/Hotel_Review-g187265-d228015-Reviews-Mercure_Lyon_Centre_Brotteaux-Lyon_Rhone_Auvergne_Rhone_Alpes.html
11;Lyon;Hôtel Mercure Lyon Centre Lumière;4.0;487;https://www.tripadvisor.fr/Hotel_Review-g187265-d197067-Reviews-Hotel_Mercure_Lyon_Centre_Lumiere-Lyon_Rhone_Auvergne_Rhone_Alpes.html
12;Lyon;Mama Shelter Lyon;4.5;1560;https://www.tripadvisor.fr/Hotel_Review-g187265-d3987293-Reviews-Mama_Shelter_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html
13;Lyon;Ibis Budget Aeroport Lyon Saint Exupery;4.0;1414;https://www.tripadvisor.fr/Hotel_Review-g187265-d3716594-Reviews-Ibis_Budget_Aeroport_Lyon_Saint_Exupery-Lyon_Rhone_Auvergne_Rhone_Alpes.html
14;Lyon;Ibis Budget Lyon Confluence;3.5;357;https://www.tripadvisor.fr/Hotel_Review-g187265-d7365860-Reviews-Ibis_Budget_Lyon_Centre_Confluence-Lyon_Rhone_Auvergne_Rhone_Alpes.html
15;Lyon;Hotel ibis Lyon Gerland Musée des Confluences;4.0;580;https://www.tripadvisor.fr/Hotel_Review-g187265-d197075-Reviews-Hotel_ibis_Lyon_Gerland_Musee_des_Confluences-Lyon_Rhone_Auvergne_Rhone_Alpes.html
16;Lyon;Ibis Lyon Part Dieu Les Halles;3.5;1956;https://www.tripadvisor.fr/Hotel_Review-g187265-d197074-Reviews-Ibis_Lyon_Part_Dieu_Les_Halles-Lyon_Rhone_Auvergne_Rhone_Alpes.html
17;Lyon;Ibis Budget Lyon Centre - Gare Part Dieu;4.0;996;https://www.tripadvisor.fr/Hotel_Review-g187265-d2346264-Reviews-Ibis_Budget_Lyon_Centre_Gare_Part_Dieu-Lyon_Rhone_Auvergne_Rhone_Alpes.html
18;Lyon;Ibis Lyon Centre Perrache;4.0;1283;https://www.tripadvisor.fr/Hotel_Review-g187265-d232348-Reviews-Ibis_Lyon_Centre_Perrache-Lyon_Rhone_Auvergne_Rhone_Alpes.html
19;Lyon;Ibis Lyon Gare La Part Dieu;4.0;1017;https://www.tripadvisor.fr/Hotel_Review-g187265-d197072-Reviews-Ibis_Lyon_Gare_La_Part_Dieu-Lyon_Rhone_Auvergne_Rhone_Alpes.html
20;Lyon;Ibis Lyon Part Dieu Les Halles;3.5;1955;https://www.tripadvisor.fr/Hotel_Review-g187265-d197074-Reviews-Ibis_Lyon_Part_Dieu_Les_Halles-Lyon_Rhone_Auvergne_Rhone_Alpes.html
21;Lyon;Ibis Styles Lyon Confluence;4.0;495;https://www.tripadvisor.fr/Hotel_Review-g187265-d232356-Reviews-Ibis_Styles_Lyon_Centre_Confluence-Lyon_Rhone_Auvergne_Rhone_Alpes.html
22;Lyon;Hotel Ibis Lyon Centre;4.0;294;https://www.tripadvisor.fr/Hotel_Review-g187265-d197073-Reviews-Hotel_Ibis_Lyon_Centre-Lyon_Rhone_Auvergne_Rhone_Alpes.html
23;Lyon;Ibis Budget Lyon Gerland;3.0;836;https://www.tripadvisor.fr/Hotel_Review-g187265-d300912-Reviews-Ibis_Budget_Lyon_Gerland-Lyon_Rhone_Auvergne_Rhone_Alpes.html
24;Lyon;Ibis Lyon Gerland Rue Merieux;3.5;417;https://www.tripadvisor.fr/Hotel_Review-g187265-d197076-Reviews-Ibis_Lyon_Gerland_Rue_Merieux-Lyon_Rhone_Auvergne_Rhone_Alpes.html
25;Lyon;Ibis Gerland Hotel - Lyon;3.5;45;https://www.tripadvisor.fr/Hotel_Review-g187265-d232359-Reviews-Ibis_Gerland_Hotel_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html
