;city;hotel_name;hotel_rating;hotel_reviews;hotel_url
0;Montpellier;Pullman Montpellier Centre;4.5;1540;https://www.tripadvisor.fr/Hotel_Review-g187153-d1223206-Reviews-Pullman_Montpellier_Centre-Montpellier_Herault_Occitanie.html
1;Montpellier;Novotel Montpellier;3.5;1098;https://www.tripadvisor.fr/Hotel_Review-g187153-d197032-Reviews-Novotel_Montpellier-Montpellier_Herault_Occitanie.html
2;Montpellier;Novotel Suites Montpellier;3.5;938;https://www.tripadvisor.fr/Hotel_Review-g187153-d575960-Reviews-Novotel_Suites_Montpellier-Montpellier_Herault_Occitanie.html
3;Montpellier;Mercure Montpellier Centre Comédie;3.5;890;https://www.tripadvisor.fr/Hotel_Review-g187153-d232473-Reviews-Mercure_Montpellier_Centre_Comedie-Montpellier_Herault_Occitanie.html
4;Montpellier;Hotel Mercure Montpellier Centre Antigone;3.5;705;https://www.tripadvisor.fr/Hotel_Review-g187153-d197033-Reviews-Hotel_Mercure_Montpellier_Centre_Antigone-Montpellier_Herault_Occitanie.html
5;Montpellier;Aparthotel Adagio Access Montpellier Centre;4.5;57;https://www.tripadvisor.fr/Hotel_Review-g187153-d15745704-Reviews-Aparthotel_Adagio_Access_Montpellier_Centre-Montpellier_Herault_Occitanie.html
6;Montpellier;Ibis Montpellier Centre Comedie;4.0;1171;https://www.tripadvisor.fr/Hotel_Review-g187153-d197037-Reviews-Ibis_Montpellier_Centre_Comedie-Montpellier_Herault_Occitanie.html
7;Montpellier;Ibis Budget Montpellier Sud Près d'Arènes;3.5;51;https://www.tripadvisor.fr/Hotel_Review-g187153-d197041-Reviews-Ibis_Budget_Montpellier_Sud_Pres_d_Arenes-Montpellier_Herault_Occitanie.html
8;Montpellier;Ibis Styles Montpellier Centre Comedie;4.0;926;https://www.tripadvisor.fr/Hotel_Review-g187153-d6556243-Reviews-Ibis_Styles_Montpellier_Centre_Comedie-Montpellier_Herault_Occitanie.html
9;Montpellier;Ibis Budget Montpellier Centre Millenaire;3.5;658;https://www.tripadvisor.fr/Hotel_Review-g187153-d300745-Reviews-Ibis_Budget_Montpellier_Centre_Millenaire-Montpellier_Herault_Occitanie.html
10;Montpellier;ibis Montpellier Sud Hotel;3.5;657;https://www.tripadvisor.fr/Hotel_Review-g187153-d1157748-Reviews-Ibis_Montpellier_Sud_Hotel-Montpellier_Herault_Occitanie.html
11;Montpellier;Ibis Budget Montpellier sud Lattes;3.5;434;https://www.tripadvisor.fr/Hotel_Review-g196606-d1054948-Reviews-Ibis_Budget_Montpellier_sud_Lattes-Lattes_Montpellier_Herault_Occitanie.html
12;Montpellier;Ibis Montpellier Centre;3.0;970;https://www.tripadvisor.fr/Hotel_Review-g187153-d197043-Reviews-Ibis_Montpellier_Centre-Montpellier_Herault_Occitanie.html
13;Montpellier;hotelF1 Montpellier sud;2.0;130;https://www.tripadvisor.fr/Hotel_Review-g196606-d507580-Reviews-HotelF1_Montpellier_sud-Lattes_Montpellier_Herault_Occitanie.html
