;city;hotel_name;hotel_rating;hotel_reviews;hotel_url
0;Nice;Novotel Nice Centre Vieux Nice;3.5;231;https://www.tripadvisor.fr/Hotel_Review-g187234-d197197-Reviews-Novotel_Nice_Centre_Vieux_Nice-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Az.html
1;Nice;Novotel Nice Arenas Aeroport;3.5;989;https://www.tripadvisor.fr/Hotel_Review-g187234-d232364-Reviews-Novotel_Nice_Arenas_Aeroport-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
2;Nice;Novotel Suites Nice Airport;4.0;909;https://www.tripadvisor.fr/Hotel_Review-g187234-d1118660-Reviews-Novotel_Suites_Nice_Aeroport-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azu.html
3;Nice;Mercure Nice Centre Notre Dame;4.0;1474;https://www.tripadvisor.fr/Hotel_Review-g187234-d197192-Reviews-Mercure_Nice_Centre_Notre_Dame-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Az.html
4;Nice;Mercure Nice Promenade des Anglais;4.0;2328;https://www.tripadvisor.fr/Hotel_Review-g187234-d197190-Reviews-Mercure_Nice_Promenade_des_Anglais-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_.html
5;Nice;Mercure Nice Centre Grimaldi;4.0;1059;https://www.tripadvisor.fr/Hotel_Review-g187234-d230745-Reviews-Mercure_Nice_Centre_Grimaldi-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
6;Nice;Adagio Nice Promenade Des Anglais;3.5;647;https://www.tripadvisor.fr/Hotel_Review-g187234-d572415-Reviews-Adagio_Nice_Promenade_Des_Anglais-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d.html
7;Nice;Adagio Access Nice Acropolis;3.0;756;https://www.tripadvisor.fr/Hotel_Review-g187234-d575786-Reviews-Adagio_Access_Nice_Acropolis-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
8;Nice;Hipark by Adagio Nice;3.5;906;https://www.tripadvisor.fr/Hotel_Review-g187234-d1865881-Reviews-Hipark_by_Adagio_Nice-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
9;Nice;Adagio Access Nice Magnan;3.5;462;https://www.tripadvisor.fr/Hotel_Review-g187234-d530449-Reviews-Adagio_Access_Nice_Magnan-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
10;Nice;Ibis Styles Nice Centre Gare;4.5;1231;https://www.tripadvisor.fr/Hotel_Review-g187234-d7932671-Reviews-Ibis_Styles_Nice_Centre_Gare-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azu.html
11;Nice;Ibis Budget Nice Aeroport;3.0;1131;https://www.tripadvisor.fr/Hotel_Review-g187234-d260813-Reviews-Ibis_Budget_Nice_Aeroport-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
12;Nice;Ibis Styles Nice Vieux Port;4.0;1433;https://www.tripadvisor.fr/Hotel_Review-g187234-d272600-Reviews-Ibis_Styles_Nice_Vieux_Port-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
13;Nice;Ibis Budget Nice Californie Lenval;3.5;1237;https://www.tripadvisor.fr/Hotel_Review-g187234-d197209-Reviews-Ibis_Budget_Nice_Californie_Lenval-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_.html
14;Nice;Ibis Nice Palais des Congres Vieux Nice;4.0;715;https://www.tripadvisor.fr/Hotel_Review-g187234-d197858-Reviews-EasyHotel_Nice_Palais_des_Congres_Vieux_Nice-Nice_French_Riviera_Cote_d_Azur_Provence_A.html
15;Nice;Ibis Budget Nice Palais Nikaia;3.0;586;https://www.tripadvisor.fr/Hotel_Review-g187234-d294169-Reviews-Ibis_Budget_Nice_Palais_Nikaia-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Az.html
16;Nice;Ibis Styles Nice Aéroport Arénas;4.0;941;https://www.tripadvisor.fr/Hotel_Review-g187234-d1143056-Reviews-Ibis_Styles_Nice_Airport_Arenas-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_.html
17;Nice;Ibis Nice Centre Gare;3.5;1756;https://www.tripadvisor.fr/Hotel_Review-g187234-d197212-Reviews-Ibis_Nice_Centre_Gare-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
18;Nice;Ibis Nice Centre Notre-Dame;3.5;683;https://www.tripadvisor.fr/Hotel_Review-g187234-d232362-Reviews-Ibis_Nice_Centre_Notre_Dame-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
19;Nice;Hôtel Ibis Nice Aéroport Promenade Des Anglais;3.5;696;https://www.tripadvisor.fr/Hotel_Review-g187234-d197215-Reviews-Hotel_Ibis_Nice_Aeroport_Promenade_Des_Anglais-Nice_French_Riviera_Cote_d_Azur_Provence.html
