;city;hotel_name;hotel_rating;hotel_reviews;hotel_url
0;Bordeaux;Hilton Garden Inn Bordeaux Centre;4.0;381;https://www.tripadvisor.fr/Hotel_Review-g187079-d14504725-Reviews-Hilton_Garden_Inn_Bordeaux_Centre-Bordeaux_Gironde_Nouvelle_Aquitaine.html
1;Bordeaux;Quality Hotel Bordeaux Centre;4.0;1414;https://www.tripadvisor.fr/Hotel_Review-g187079-d196932-Reviews-Quality_Hotel_Bordeaux_Centre-Bordeaux_Gironde_Nouvelle_Aquitaine.html
2;Bordeaux;Hôtel de Tourny;4.5;824;https://www.tripadvisor.fr/Hotel_Review-g187079-d2083214-Reviews-Hotel_de_Tourny-Bordeaux_Gironde_Nouvelle_Aquitaine.html
3;Bordeaux;Le Boutique Hotel;4.5;1175;https://www.tripadvisor.fr/Hotel_Review-g187079-d2217757-Reviews-Le_Boutique_Hotel-Bordeaux_Gironde_Nouvelle_Aquitaine.html
4;Bordeaux;Appart’hôtel Victoria Garden Bordeaux;3.5;336;https://www.tripadvisor.fr/Hotel_Review-g187079-d293385-Reviews-Appart_hotel_Victoria_Garden_Bordeaux-Bordeaux_Gironde_Nouvelle_Aquitaine.html
5;Bordeaux;ResidHotel Galerie Tatry;3.5;1128;https://www.tripadvisor.fr/Hotel_Review-g187079-d1146549-Reviews-ResidHotel_Galerie_Tatry-Bordeaux_Gironde_Nouvelle_Aquitaine.html
6;Bordeaux;Ibis Bordeaux Centre Meriadeck;3.5;2474;https://www.tripadvisor.fr/Hotel_Review-g187079-d196937-Reviews-Ibis_Bordeaux_Centre_Meriadeck-Bordeaux_Gironde_Nouvelle_Aquitaine.html
7;Bordeaux;Radisson Blu Hôtel;4.5;174;https://www.tripadvisor.fr/Hotel_Review-g187079-d15080462-Reviews-Radisson_Blu_Hotel-Bordeaux_Gironde_Nouvelle_Aquitaine.html
8;Bordeaux;Mama Shelter Bordeaux;4.5;1433;https://www.tripadvisor.fr/Hotel_Review-g187079-d4763234-Reviews-Mama_Shelter_Bordeaux-Bordeaux_Gironde_Nouvelle_Aquitaine.html
9;Bordeaux;Hotel de Seze;4.5;942;https://www.tripadvisor.fr/Hotel_Review-g187079-d219753-Reviews-Hotel_de_Seze-Bordeaux_Gironde_Nouvelle_Aquitaine.html
10;Bordeaux;Ibis Budget Bordeaux Mériadeck;3.0;1902;https://www.tripadvisor.fr/Hotel_Review-g187079-d669310-Reviews-Ibis_Budget_Bordeaux_Centre_Meriadeck-Bordeaux_Gironde_Nouvelle_Aquitaine.html
11;Bordeaux;Novotel Bordeaux Centre;3.5;1458;https://www.tripadvisor.fr/Hotel_Review-g187079-d196936-Reviews-Novotel_Bordeaux_Centre-Bordeaux_Gironde_Nouvelle_Aquitaine.html
12;Bordeaux;Premiere Classe Bordeaux Ouest - Mérignac Aéroport;4.0;385;https://www.tripadvisor.fr/Hotel_Review-g207338-d6950291-Reviews-Premiere_Classe_Bordeaux_Ouest_Merignac_Aeroport-Merignac_Bordeaux_Gironde_Nouvelle_Aq.html
13;Bordeaux;Zenitude Hôtel-Résidences Bordeaux Aéroport;3.5;389;https://www.tripadvisor.fr/Hotel_Review-g207338-d10694750-Reviews-Zenitude_Hotel_Residences_Bordeaux_Aeroport-Merignac_Bordeaux_Gironde_Nouvelle_Aquita.html
14;Bordeaux;Ibis Budget Bordeaux Aeroport;4.0;897;https://www.tripadvisor.fr/Hotel_Review-g207338-d1769746-Reviews-Ibis_Budget_Bordeaux_Aeroport-Merignac_Bordeaux_Gironde_Nouvelle_Aquitaine.html
15;Bordeaux;Ibis Budget Bordeaux Gare Saint Jean;3.5;1035;https://www.tripadvisor.fr/Hotel_Review-g187079-d629163-Reviews-Ibis_Budget_Bordeaux_Gare_Saint_Jean-Bordeaux_Gironde_Nouvelle_Aquitaine.html
16;Bordeaux;Aparthotel Adagio;4.0;1232;https://www.tripadvisor.fr/Hotel_Review-g187079-d1109727-Reviews-Aparthotel_Adagio-Bordeaux_Gironde_Nouvelle_Aquitaine.html
17;Bordeaux;Hotel Le Palais Gallien;4.5;90;https://www.tripadvisor.fr/Hotel_Review-g187079-d15518068-Reviews-Hotel_Le_Palais_Gallien-Bordeaux_Gironde_Nouvelle_Aquitaine.html
18;Bordeaux;Hotel Burdigala;4.5;1008;https://www.tripadvisor.fr/Hotel_Review-g187079-d240243-Reviews-Hotel_Burdigala-Bordeaux_Gironde_Nouvelle_Aquitaine.html
19;Bordeaux;Hôtel Altica Bordeaux Floirac;4.5;156;https://www.tripadvisor.fr/Hotel_Review-g1939011-d1821935-Reviews-Hotel_Altica_Bordeaux_Floirac-Floirac_Bordeaux_Gironde_Nouvelle_Aquitaine.html
20;Bordeaux;Kyriad Bordeaux Bègles;3.5;275;https://www.tripadvisor.fr/Hotel_Review-g226847-d229515-Reviews-Kyriad_Bordeaux_Begles-Begles_Bordeaux_Gironde_Nouvelle_Aquitaine.html
21;Bordeaux;YNDO hotel;5.0;576;https://www.tripadvisor.fr/Hotel_Review-g187079-d7132968-Reviews-Yndohotel-Bordeaux_Gironde_Nouvelle_Aquitaine.html
22;Bordeaux;Ibis Styles Bordeaux Aeroport;4.0;871;https://www.tripadvisor.fr/Hotel_Review-g207338-d233278-Reviews-Ibis_Styles_Bordeaux_Aeroport-Merignac_Bordeaux_Gironde_Nouvelle_Aquitaine.html
23;Bordeaux;Ibis Bordeaux Centre Gare Saint Jean;4.0;874;https://www.tripadvisor.fr/Hotel_Review-g187079-d196940-Reviews-Ibis_Bordeaux_Centre_Gare_Saint_Jean-Bordeaux_Gironde_Nouvelle_Aquitaine.html
