;city;hotel_name;hotel_rating;hotel_reviews;hotel_url
0;Lille;Hotel L'Arbre Voyageur, BW Premier Collection;5.0;567;https://www.tripadvisor.fr/Hotel_Review-g187178-d11670679-Reviews-Hotel_L_Arbre_Voyageur_BW_Premier_Collection-Lille_Nord_Hauts_de_France.html
1;Lille;Best Western Premier Why Hotel;4.5;1316;https://www.tripadvisor.fr/Hotel_Review-g187178-d3536508-Reviews-Best_Western_Premier_Why_Hotel-Lille_Nord_Hauts_de_France.html
2;Lille;Mercure Lille Centre Grand Place;4.0;1404;https://www.tripadvisor.fr/Hotel_Review-g187178-d196912-Reviews-Mercure_Lille_Centre_Grand_Place-Lille_Nord_Hauts_de_France.html
3;Lille;Mercure Lille Centre Vieux Lille;4.0;571;https://www.tripadvisor.fr/Hotel_Review-g187178-d277055-Reviews-Mercure_Lille_Centre_Vieux_Lille-Lille_Nord_Hauts_de_France.html
4;Lille;Urban Hôtel & SPA;3.5;269;https://www.tripadvisor.fr/Hotel_Review-g187178-d1536095-Reviews-Best_Western_Urban_Hotel_SPA-Lille_Nord_Hauts_de_France.html
5;Lille;Ibis Lille Centre Grand Place;3.5;751;https://www.tripadvisor.fr/Hotel_Review-g187178-d196920-Reviews-Ibis_Lille_Centre_Grand_Place-Lille_Nord_Hauts_de_France.html
6;Lille;Campanile Lille - Euralille;4.0;559;https://www.tripadvisor.fr/Hotel_Review-g950935-d4498818-Reviews-Campanile_Lille_Euralille-La_Madeleine_Lille_Nord_Hauts_de_France.html
7;Lille;Ibis Lille Lomme Centre;3.5;385;https://www.tripadvisor.fr/Hotel_Review-g656507-d1223967-Reviews-Ibis_Lille_Lomme_Centre-Lomme_Lille_Nord_Hauts_de_France.html
8;Lille;Ibis Budget Lille Wasquehal;3.5;357;https://www.tripadvisor.fr/Hotel_Review-g1227432-d1391524-Reviews-Ibis_Budget_Lille_Wasquehal-Wasquehal_Lille_Nord_Hauts_de_France.html
9;Lille;Hotel Art Déco;3.5;381;https://www.tripadvisor.fr/Hotel_Review-g950935-d1217267-Reviews-Hotel_Art_Deco_Euralille-La_Madeleine_Lille_Nord_Hauts_de_France.html
10;Lille;Novotel Lille Aéroport;4.0;314;https://www.tripadvisor.fr/Hotel_Review-g262038-d234891-Reviews-Novotel_Lille_Aeroport-Lesquin_Lille_Nord_Hauts_de_France.html
11;Lille;Ibis Budget Lille Centre;3.5;1276;https://www.tripadvisor.fr/Hotel_Review-g187178-d300759-Reviews-Ibis_Budget_Lille_Centre-Lille_Nord_Hauts_de_France.html
12;Lille;Carlton Hotel;4.5;549;https://www.tripadvisor.fr/Hotel_Review-g187178-d232402-Reviews-Carlton_Hotel-Lille_Nord_Hauts_de_France.html
13;Lille;Grand Hôtel Bellevue;4.5;155;https://www.tripadvisor.fr/Hotel_Review-g187178-d198288-Reviews-Grand_Hotel_Bellevue-Lille_Nord_Hauts_de_France.html
14;Lille;Hotel Lille Europe;3.5;783;https://www.tripadvisor.fr/Hotel_Review-g187178-d232404-Reviews-Hotel_Lille_Europe-Lille_Nord_Hauts_de_France.html
15;Lille;Ibis Lille Centre Grand Palais Hotel;4.0;462;https://www.tripadvisor.fr/Hotel_Review-g187178-d7392618-Reviews-Ibis_Lille_Centre_Grand_Palais_Hotel-Lille_Nord_Hauts_de_France.html
16;Lille;Couvent des Minimes - Alliance Lille;4.0;1175;https://www.tripadvisor.fr/Hotel_Review-g187178-d228751-Reviews-Couvent_des_Minimes_Alliance_Lille-Lille_Nord_Hauts_de_France.html
17;Lille;L'Hermitage Gantois, Autograph Collection;4.5;1307;https://www.tripadvisor.fr/Hotel_Review-g187178-d289349-Reviews-L_Hermitage_Gantois_Autograph_Collection-Lille_Nord_Hauts_de_France.html
18;Lille;Campanile Lille Sud - Chr;3.5;211;https://www.tripadvisor.fr/Hotel_Review-g187178-d236901-Reviews-Campanile_Lille_Sud_Chr-Lille_Nord_Hauts_de_France.html
19;Lille;Holiday Inn Express Lille Centre;4.0;507;https://www.tripadvisor.fr/Hotel_Review-g187178-d198290-Reviews-Holiday_Inn_Express_Lille_Centre-Lille_Nord_Hauts_de_France.html
20;Lille;Ibis Lille Centre Gares;4.0;1032;https://www.tripadvisor.fr/Hotel_Review-g187178-d196916-Reviews-Ibis_Lille_Centre_Gares-Lille_Nord_Hauts_de_France.html
21;Lille;Hôtel Barrière Lille;4.5;1451;https://www.tripadvisor.fr/Hotel_Review-g187178-d1740729-Reviews-Hotel_Barriere_Lille-Lille_Nord_Hauts_de_France.html
22;Lille;Calm Appart Hotel;4.0;290;https://www.tripadvisor.fr/Hotel_Review-g187178-d4050964-Reviews-Calm_Appart_Hotel-Lille_Nord_Hauts_de_France.html
23;Lille;Novotel Lille Centre Grand Place;4.0;1199;https://www.tripadvisor.fr/Hotel_Review-g187178-d196911-Reviews-Novotel_Lille_Centre_Grand_Place-Lille_Nord_Hauts_de_France.html
24;Lille;Ibis Styles Lille Centre Gare Beffroi;3.5;1288;https://www.tripadvisor.fr/Hotel_Review-g187178-d196917-Reviews-Ibis_Styles_Lille_Centre_Gare_Beffroi-Lille_Nord_Hauts_de_France.html
25;Lille;Hotel Brueghel;4.0;312;https://www.tripadvisor.fr/Hotel_Review-g187178-d236905-Reviews-Hotel_Brueghel-Lille_Nord_Hauts_de_France.html
26;Lille;Best Western Plus Up Hotel;4.5;750;https://www.tripadvisor.fr/Hotel_Review-g187178-d1800257-Reviews-Best_Western_Plus_Up_Hotel-Lille_Nord_Hauts_de_France.html
27;Lille;Mercure Grand Lille Hotel (ex Lille Metropole);4.0;722;https://www.tripadvisor.fr/Hotel_Review-g1080559-d228820-Reviews-Mercure_Grand_Lille_Hotel_ex_Lille_Metropole-Marcq_en_Baroeul_Lille_Nord_Hauts_de_Fran.html
28;Lille;Novotel Suites Lille Europe hotel;4.0;1751;https://www.tripadvisor.fr/Hotel_Review-g187178-d628635-Reviews-Novotel_Suites_Lille_Europe_hotel-Lille_Nord_Hauts_de_France.html
29;Lille;Citadines City Centre Lille;3.5;381;https://www.tripadvisor.fr/Hotel_Review-g187178-d232403-Reviews-Citadines_City_Centre_Lille-Lille_Nord_Hauts_de_France.html
31;Lille;Couvent des Minimes - Alliance Lille;4.0;1172;https://www.tripadvisor.fr/Hotel_Review-g187178-d228751-Reviews-Couvent_des_Minimes_Alliance_Lille-Lille_Nord_Hauts_de_France.html
