;city;hotel_name;hotel_rating;hotel_reviews;hotel_url
0;Lyon;Hotel Crowne Plaza Lyon - Cité Internationale;4.5;1651;https://www.tripadvisor.fr/Hotel_Review-g187265-d621359-Reviews-Hotel_Crowne_Plaza_Lyon_Cite_Internationale-Lyon_Rhone_Auvergne_Rhone_Alpes.html
1;Lyon;Staycity Aparthotels Rue Garibaldi;4.5;899;https://www.tripadvisor.fr/Hotel_Review-g187265-d12136060-Reviews-Staycity_Aparthotels_Rue_Garibaldi-Lyon_Rhone_Auvergne_Rhone_Alpes.html
2;Lyon;Fourviere Hotel;4.5;963;https://www.tripadvisor.fr/Hotel_Review-g187265-d8820474-Reviews-Fourviere_Hotel-Lyon_Rhone_Auvergne_Rhone_Alpes.html
3;Lyon;Hotel Carlton Lyon - MGallery Collection;4.5;1859;https://www.tripadvisor.fr/Hotel_Review-g187265-d232355-Reviews-Hotel_Carlton_Lyon_MGallery_Collection-Lyon_Rhone_Auvergne_Rhone_Alpes.html
4;Lyon;Ibis Budget Aeroport Lyon Saint Exupery;4.0;1414;https://www.tripadvisor.fr/Hotel_Review-g187265-d3716594-Reviews-Ibis_Budget_Aeroport_Lyon_Saint_Exupery-Lyon_Rhone_Auvergne_Rhone_Alpes.html
5;Lyon;Grand Hotel des Terreaux;4.0;927;https://www.tripadvisor.fr/Hotel_Review-g187265-d265523-Reviews-Grand_Hotel_des_Terreaux-Lyon_Rhone_Auvergne_Rhone_Alpes.html
6;Lyon;Hôtel Vaubecour;4.5;604;https://www.tripadvisor.fr/Hotel_Review-g187265-d1058931-Reviews-Hotel_Vaubecour-Lyon_Rhone_Auvergne_Rhone_Alpes.html
7;Lyon;Mercure Lyon Centre Beaux Arts;4.5;1395;https://www.tripadvisor.fr/Hotel_Review-g187265-d219782-Reviews-Mercure_Lyon_Centre_Beaux_Arts-Lyon_Rhone_Auvergne_Rhone_Alpes.html
8;Lyon;MiHotel;4.5;412;https://www.tripadvisor.fr/Hotel_Review-g187265-d3974197-Reviews-MiHotel-Lyon_Rhone_Auvergne_Rhone_Alpes.html
10;Lyon;Campanile Lyon Centre - Gare Part Dieu;4.0;1234;https://www.tripadvisor.fr/Hotel_Review-g187265-d253267-Reviews-Campanile_Lyon_Centre_Gare_Part_Dieu-Lyon_Rhone_Auvergne_Rhone_Alpes.html
