;city;hotel_name;hotel_rating;hotel_reviews;hotel_url
0;Marseille;Escale Oceania Marseille Vieux Port;4.5;1220;https://www.tripadvisor.fr/Hotel_Review-g187253-d219969-Reviews-Escale_Oceania_Marseille_Vieux_Port-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d_Az.html
1;Marseille;Sofitel Marseille Vieux-Port;4.5;2936;https://www.tripadvisor.fr/Hotel_Review-g187253-d207554-Reviews-Sofitel_Marseille_Vieux_Port-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html
2;Marseille;Hôtel La Residence du Vieux Port;4.5;1130;https://www.tripadvisor.fr/Hotel_Review-g187253-d195832-Reviews-Hotel_La_Residence_du_Vieux_Port-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html
3;Marseille;Citadines Castellane Marseille;4.0;391;https://www.tripadvisor.fr/Hotel_Review-g187253-d197119-Reviews-Citadines_Castellane_Marseille-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html
4;Marseille;Hermes;4.0;426;https://www.tripadvisor.fr/Hotel_Review-g187253-d235838-Reviews-Hermes-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html
5;Marseille;Golden Tulip Marseille Euromed;4.0;683;https://www.tripadvisor.fr/Hotel_Review-g187253-d8871826-Reviews-Golden_Tulip_Marseille_Euromed-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html
6;Marseille;Staycity Marseille Centre Vieux Port;4.5;1018;https://www.tripadvisor.fr/Hotel_Review-g187253-d11744464-Reviews-Staycity_Marseille_Centre_Vieux_Port-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d.html
7;Marseille;Grand Hotel Beauvau Marseille Vieux Port - MGallery Collection;4.5;840;https://www.tripadvisor.fr/Hotel_Review-g187253-d195831-Reviews-Grand_Hotel_Beauvau_Marseille_Vieux_Port_MGallery_Collection-Marseille_Bouches_du_Rhone.html
8;Marseille;Hotel Carre Vieux Port Marseille;4.0;773;https://www.tripadvisor.fr/Hotel_Review-g187253-d256135-Reviews-Hotel_Carre_Vieux_Port_Marseille-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html
9;Marseille;Alex Hotel & Spa;4.5;592;https://www.tripadvisor.fr/Hotel_Review-g187253-d5790602-Reviews-Alex_Hotel_Spa-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html
10;Marseille;C2 Hôtel;4.5;441;https://www.tripadvisor.fr/Hotel_Review-g187253-d6554997-Reviews-C2_Hotel-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html
11;Marseille;Ibis Marseille Centre Euromed;4.0;1058;https://www.tripadvisor.fr/Hotel_Review-g187253-d1025963-Reviews-Ibis_Marseille_Centre_Euromed-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html
12;Marseille;InterContinental Marseille - Hotel Dieu;4.5;2590;https://www.tripadvisor.fr/Hotel_Review-g187253-d3226264-Reviews-InterContinental_Marseille_Hotel_Dieu-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d.html
13;Marseille;NH Collection Marseille;4.5;400;https://www.tripadvisor.fr/Hotel_Review-g187253-d12957244-Reviews-NH_Collection_Marseille-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html
