;city;hotel_name;hotel_rating;hotel_reviews;hotel_url
0;Montpellier;Privilège Hôtel Eurociel Centre Comédie;4.5;1084;https://www.tripadvisor.fr/Hotel_Review-g187153-d2706661-Reviews-Privilege_Hotel_Eurociel_Centre_Comedie-Montpellier_Herault_Occitanie.html
1;Montpellier;Ibis Montpellier Centre Comedie;4.0;1171;https://www.tripadvisor.fr/Hotel_Review-g187153-d197037-Reviews-Ibis_Montpellier_Centre_Comedie-Montpellier_Herault_Occitanie.html
2;Montpellier;Halt Hotel;4.5;196;https://www.tripadvisor.fr/Hotel_Review-g196606-d659435-Reviews-Halt_Hotel-Lattes_Montpellier_Herault_Occitanie.html
3;Montpellier;Hotel Oceania Le Métropole;4.5;445;https://www.tripadvisor.fr/Hotel_Review-g187153-d198303-Reviews-Hotel_Oceania_Le_Metropole-Montpellier_Herault_Occitanie.html
4;Montpellier;Pullman Montpellier Centre;4.5;1540;https://www.tripadvisor.fr/Hotel_Review-g187153-d1223206-Reviews-Pullman_Montpellier_Centre-Montpellier_Herault_Occitanie.html
5;Montpellier;Citadines Montpellier Antigone;4.0;566;https://www.tripadvisor.fr/Hotel_Review-g187153-d197038-Reviews-Citadines_Montpellier_Antigone-Montpellier_Herault_Occitanie.html
6;Montpellier;Couette et Café;5.0;195;https://www.tripadvisor.fr/Hotel_Review-g187153-d8860903-Reviews-Couette_et_Cafe-Montpellier_Herault_Occitanie.html
7;Montpellier;Hôtel Kyriad;4.0;372;https://www.tripadvisor.fr/Hotel_Review-g196606-d1076258-Reviews-Hotel_Kyriad-Lattes_Montpellier_Herault_Occitanie.html
8;Montpellier;Campanile Montpellier Est - Le Millénaire;3.5;591;https://www.tripadvisor.fr/Hotel_Review-g187153-d280104-Reviews-Campanile_Montpellier_Est_Le_Millenaire-Montpellier_Herault_Occitanie.html
9;Montpellier;Hôtel d'Aragon;4.5;420;https://www.tripadvisor.fr/Hotel_Review-g187153-d559441-Reviews-Hotel_d_Aragon-Montpellier_Herault_Occitanie.html
10;Montpellier;Appart'City Montpellier Saint-Roch;4.5;20;https://www.tripadvisor.fr/Hotel_Review-g187153-d942444-Reviews-Appart_City_Confort_Montpellier_Saint_Roch-Montpellier_Herault_Occitanie.html
11;Montpellier;Grand Hôtel Du Midi;4.0;487;https://www.tripadvisor.fr/Hotel_Review-g187153-d197028-Reviews-Grand_Hotel_Du_Midi-Montpellier_Herault_Occitanie.html
12;Montpellier;Hôtel Best Western Plus Comédie Saint Roch;4.0;180;https://www.tripadvisor.fr/Hotel_Review-g187153-d229779-Reviews-Hotel_Best_Western_Plus_Comedie_Saint_Roch-Montpellier_Herault_Occitanie.html
13;Montpellier;Mercure Montpellier Centre Comédie;3.5;890;https://www.tripadvisor.fr/Hotel_Review-g187153-d232473-Reviews-Mercure_Montpellier_Centre_Comedie-Montpellier_Herault_Occitanie.html
14;Montpellier;Ibis Budget Montpellier Sud Près d'Arènes;3.5;51;https://www.tripadvisor.fr/Hotel_Review-g187153-d197041-Reviews-Ibis_Budget_Montpellier_Sud_Pres_d_Arenes-Montpellier_Herault_Occitanie.html
15;Montpellier;Premiere Classe Montpellier Sud - Lattes;2.5;388;https://www.tripadvisor.fr/Hotel_Review-g196606-d651066-Reviews-Premiere_Classe_Montpellier_Sud_Lattes-Lattes_Montpellier_Herault_Occitanie.html
16;Montpellier;Ibis Styles Montpellier Centre Comedie;4.0;926;https://www.tripadvisor.fr/Hotel_Review-g187153-d6556243-Reviews-Ibis_Styles_Montpellier_Centre_Comedie-Montpellier_Herault_Occitanie.html
17;Montpellier;Holiday Inn Express Montpellier - Odysseum;4.0;510;https://www.tripadvisor.fr/Hotel_Review-g187153-d2554836-Reviews-Holiday_Inn_Express_Montpellier_Odysseum-Montpellier_Herault_Occitanie.html
