;city;hotel_name;hotel_rating;hotel_reviews;hotel_url
0;Nantes;Radisson Blu Hotel, Nantes;4.5;2442;https://www.tripadvisor.fr/Hotel_Review-g187198-d3523360-Reviews-Radisson_Blu_Hotel_Nantes-Nantes_Loire_Atlantique_Pays_de_la_Loire.html
1;Nantes;Campanile Nantes Centre - Saint Jacques;4.0;782;https://www.tripadvisor.fr/Hotel_Review-g187198-d2280145-Reviews-Campanile_Nantes_Centre_Saint_Jacques-Nantes_Loire_Atlantique_Pays_de_la_Loire.html
2;Nantes;Bho Hotel;4.0;588;https://www.tripadvisor.fr/Hotel_Review-g635821-d2522032-Reviews-Bho_Hotel-Saint_Herblain_Nantes_Loire_Atlantique_Pays_de_la_Loire.html
3;Nantes;Oceania Hôtel de France;4.5;973;https://www.tripadvisor.fr/Hotel_Review-g187198-d289355-Reviews-Oceania_Hotel_de_France-Nantes_Loire_Atlantique_Pays_de_la_Loire.html
4;Nantes;Seven Urban Suites Nantes Centre;4.5;761;https://www.tripadvisor.fr/Hotel_Review-g187198-d3360255-Reviews-Hotel_Seven_Urban_Suites_Nantes_Centre-Nantes_Loire_Atlantique_Pays_de_la_Loire.html
5;Nantes;Ibis Nantes Centre Tour Bretagne;4.0;1002;https://www.tripadvisor.fr/Hotel_Review-g187198-d197260-Reviews-Ibis_Nantes_Centre_Tour_Bretagne-Nantes_Loire_Atlantique_Pays_de_la_Loire.html
6;Nantes;SOZO Hôtel;4.5;1010;https://www.tripadvisor.fr/Hotel_Review-g187198-d2418135-Reviews-SOZO_Hotel-Nantes_Loire_Atlantique_Pays_de_la_Loire.html
7;Nantes;Mercure Nantes Centre Passage Pommeraye;4.5;734;https://www.tripadvisor.fr/Hotel_Review-g187198-d600893-Reviews-Mercure_Nantes_Centre_Passage_Pommeraye-Nantes_Loire_Atlantique_Pays_de_la_Loire.html
8;Nantes;Ibis Nantes Centre Gare Sud;4.0;747;https://www.tripadvisor.fr/Hotel_Review-g187198-d197256-Reviews-Ibis_Nantes_Centre_Gare_Sud-Nantes_Loire_Atlantique_Pays_de_la_Loire.html
9;Nantes;Westotel Nantes Atlantique;4.0;821;https://www.tripadvisor.fr/Hotel_Review-g1080574-d227305-Reviews-Westotel_Nantes_Atlantique-La_Chapelle_sur_Erdre_Nantes_Loire_Atlantique_Pays_de_la_Lo.html
10;Nantes;Best Western Hotel Atlantys Zenith Nantes;4.5;199;https://www.tripadvisor.fr/Hotel_Review-g635821-d597545-Reviews-Best_Western_Hotel_Atlantys_Zenith_Nantes-Saint_Herblain_Nantes_Loire_Atlantique_Pays_d.html
11;Nantes;Hôtel Voltaire Opéra;4.5;511;https://www.tripadvisor.fr/Hotel_Review-g187198-d529309-Reviews-Hotel_Voltaire_Opera_Nantes_Centre-Nantes_Loire_Atlantique_Pays_de_la_Loire.html
12;Nantes;The Originals Nantes Saint Herblain;4.0;279;https://www.tripadvisor.fr/Hotel_Review-g635821-d1672403-Reviews-The_Originals_Nantes_Saint_Herblain-Saint_Herblain_Nantes_Loire_Atlantique_Pays_de_la_.html
13;Nantes;Hôtel de Nantes Saint Herblain;2.5;227;https://www.tripadvisor.fr/Hotel_Review-g635821-d660582-Reviews-Hotel_de_Nantes_Saint_Herblain-Saint_Herblain_Nantes_Loire_Atlantique_Pays_de_la_Loire.html
14;Nantes;Adagio City Aparthotel Nantes Centre;4.0;544;https://www.tripadvisor.fr/Hotel_Review-g187198-d1535640-Reviews-Adagio_City_Aparthotel_Nantes_Centre-Nantes_Loire_Atlantique_Pays_de_la_Loire.html
15;Nantes;Ibis Budget Nantes Rezé Aeroport;3.5;385;https://www.tripadvisor.fr/Hotel_Review-g1080871-d4998189-Reviews-Ibis_Budget_Nantes_Reze_Airport-Reze_Nantes_Loire_Atlantique_Pays_de_la_Loire.html
16;Nantes;Ibis Styles Nantes Centre Gare;4.0;462;https://www.tripadvisor.fr/Hotel_Review-g187198-d280146-Reviews-Ibis_Styles_Nantes_Centre_Gare-Nantes_Loire_Atlantique_Pays_de_la_Loire.html
17;Nantes;Maisons du Monde Hôtel & Suites;4.5;63;https://www.tripadvisor.fr/Hotel_Review-g187198-d230191-Reviews-Maisons_du_Monde_Hotel_Suites-Nantes_Loire_Atlantique_Pays_de_la_Loire.html
18;Nantes;Golden Tulip Nantes Carquefou;4.0;433;https://www.tripadvisor.fr/Hotel_Review-g207349-d7393401-Reviews-Golden_Tulip_Nantes_Carquefou-Carquefou_Nantes_Loire_Atlantique_Pays_de_la_Loire.html
19;Nantes;Mercure Nantes Centre Grand Hotel;4.0;1089;https://www.tripadvisor.fr/Hotel_Review-g187198-d197245-Reviews-Mercure_Nantes_Centre_Grand_Hotel-Nantes_Loire_Atlantique_Pays_de_la_Loire.html
20;Nantes;Appart'City Confort Nantes Centre;3.0;458;https://www.tripadvisor.fr/Hotel_Review-g187198-d1649116-Reviews-Appart_City_Confort_Nantes_Centre-Nantes_Loire_Atlantique_Pays_de_la_Loire.html
21;Nantes;Adagio Access Nantes Viarme;4.0;355;https://www.tripadvisor.fr/Hotel_Review-g187198-d2502849-Reviews-Adagio_Access_Nantes_Viarme-Nantes_Loire_Atlantique_Pays_de_la_Loire.html
22;Nantes;Hôtel Mercure Nantes Centre Gare;4.0;721;https://www.tripadvisor.fr/Hotel_Review-g187198-d248952-Reviews-Hotel_Mercure_Nantes_Centre_Gare-Nantes_Loire_Atlantique_Pays_de_la_Loire.html
23;Nantes;Résid'Spa - Loire & Sèvre;4.5;245;https://www.tripadvisor.fr/Hotel_Review-g1080871-d4049405-Reviews-Resid_Spa_Loire_Sevre-Reze_Nantes_Loire_Atlantique_Pays_de_la_Loire.html
24;Nantes;OKKO HOTELS Nantes Chateau;4.5;888;https://www.tripadvisor.fr/Hotel_Review-g187198-d5960349-Reviews-OKKO_HOTELS_Nantes_Chateau-Nantes_Loire_Atlantique_Pays_de_la_Loire.html
25;Nantes;Ibis Budget Nantes Sainte Luce;3.5;293;https://www.tripadvisor.fr/Hotel_Review-g661723-d1071439-Reviews-Ibis_Budget_Nantes_Sainte_Luce-Sainte_Luce_sur_Loire_Nantes_Loire_Atlantique_Pays_de_l.html
26;Nantes;Novotel Nantes Centre Bord de Loire;4.0;780;https://www.tripadvisor.fr/Hotel_Review-g187198-d1489843-Reviews-Novotel_Nantes_Centre_Bord_de_Loire-Nantes_Loire_Atlantique_Pays_de_la_Loire.html
27;Nantes;Ibis Budget Nantes Nord Saint Herblain;4.0;313;https://www.tripadvisor.fr/Hotel_Review-g635821-d1052726-Reviews-Ibis_Budget_Nantes_Nord_Saint_Herblain-Saint_Herblain_Nantes_Loire_Atlantique_Pays_de_.html
28;Nantes;Zenitude Hôtel-Résidences Nantes Métropole;2.5;181;https://www.tripadvisor.fr/Hotel_Review-g187198-d1973939-Reviews-Zenitude_Hotel_Residences_Nantes_Metropole-Nantes_Loire_Atlantique_Pays_de_la_Loire.html
