;city;hotel_name;hotel_rating;hotel_reviews;hotel_url
0;Nice;Palais Saleya;5.0;462;https://www.tripadvisor.fr/Hotel_Review-g187234-d12506810-Reviews-Palais_Saleya-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
1;Nice;Ibis Styles Nice Centre Gare;4.5;1231;https://www.tripadvisor.fr/Hotel_Review-g187234-d7932671-Reviews-Ibis_Styles_Nice_Centre_Gare-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azu.html
2;Nice;La Villa Nice Victor Hugo;4.5;873;https://www.tripadvisor.fr/Hotel_Review-g187234-d197225-Reviews-La_Villa_Nice_Victor_Hugo-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
3;Nice;Radisson Blu Hotel, Nice;4.0;3082;https://www.tripadvisor.fr/Hotel_Review-g187234-d197181-Reviews-Radisson_Blu_Hotel_Nice-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
4;Nice;Hotel du Centre;4.5;357;https://www.tripadvisor.fr/Hotel_Review-g187234-d222935-Reviews-Hotel_du_Centre-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
5;Nice;Hotel Negresco;4.0;3256;https://www.tripadvisor.fr/Hotel_Review-g187234-d195659-Reviews-Hotel_Negresco-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
6;Nice;Hotel West End;4.0;1603;https://www.tripadvisor.fr/Hotel_Review-g187234-d197184-Reviews-Hotel_West_End-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
7;Nice;Boscolo Exedra Nice, Autograph Collection;4.0;1925;https://www.tripadvisor.fr/Hotel_Review-g187234-d482672-Reviews-Boscolo_Exedra_Nice_Autograph_Collection-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes.html
8;Nice;Ajoupa Apart'hotel Nice;4.5;1509;https://www.tripadvisor.fr/Hotel_Review-g187234-d265986-Reviews-Ajoupa_Apart_hotel_Nice-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
9;Nice;The Deck Hotel by HappyCulture;4.5;227;https://www.tripadvisor.fr/Hotel_Review-g187234-d197196-Reviews-The_Deck_Hotel_by_HappyCulture-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Az.html
10;Nice;Hotel Aston La Scala;4.0;1949;https://www.tripadvisor.fr/Hotel_Review-g187234-d197185-Reviews-Hotel_Aston_La_Scala-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
11;Nice;Hôtel Nice Riviera;4.0;1678;https://www.tripadvisor.fr/Hotel_Review-g187234-d197194-Reviews-Hotel_Nice_Riviera-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
12;Nice;Ibis Budget Nice Aeroport;3.0;1131;https://www.tripadvisor.fr/Hotel_Review-g187234-d260813-Reviews-Ibis_Budget_Nice_Aeroport-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
13;Nice;Hotel Ozz By HappyCulture;4.5;312;https://www.tripadvisor.fr/Hotel_Review-g187234-d234434-Reviews-Hotel_Ozz_By_HappyCulture-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
14;Nice;Ibis Styles Nice Vieux Port;4.0;1433;https://www.tripadvisor.fr/Hotel_Review-g187234-d272600-Reviews-Ibis_Styles_Nice_Vieux_Port-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
15;Nice;Hotel du Petit Palais;4.5;812;https://www.tripadvisor.fr/Hotel_Review-g187234-d219970-Reviews-Hotel_du_Petit_Palais-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
16;Nice;Hotel Florence Nice;4.0;949;https://www.tripadvisor.fr/Hotel_Review-g187234-d220181-Reviews-Hotel_Florence_Nice-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
17;Nice;Hôtel de la Fontaine;4.5;705;https://www.tripadvisor.fr/Hotel_Review-g187234-d220182-Reviews-Hotel_de_la_Fontaine-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
18;Nice;Westminster Hotel & Spa, BW Premier Collection;4.0;1414;https://www.tripadvisor.fr/Hotel_Review-g187234-d197852-Reviews-Westminster_Hotel_Spa_BW_Premier_Collection-Nice_French_Riviera_Cote_d_Azur_Provence_Al.html
19;Nice;Novotel Nice Centre Vieux Nice;3.5;231;https://www.tripadvisor.fr/Hotel_Review-g187234-d197197-Reviews-Novotel_Nice_Centre_Vieux_Nice-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Az.html
20;Nice;Hôtel Monsigny;4.0;656;https://www.tripadvisor.fr/Hotel_Review-g187234-d263752-Reviews-Hotel_Monsigny-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
21;Nice;Best Western Plus Hotel Massena Nice;4.0;1691;https://www.tripadvisor.fr/Hotel_Review-g187234-d197187-Reviews-Best_Western_Plus_Hotel_Massena_Nice-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cot.html
22;Nice;Ibis Budget Nice Californie Lenval;3.5;1237;https://www.tripadvisor.fr/Hotel_Review-g187234-d197209-Reviews-Ibis_Budget_Nice_Californie_Lenval-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_.html
23;Nice;Hotel Windsor Nice;4.0;1334;https://www.tripadvisor.fr/Hotel_Review-g187234-d219971-Reviews-Hotel_Windsor_Nice-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
24;Nice;Hotel Beau Rivage;3.5;1393;https://www.tripadvisor.fr/Hotel_Review-g187234-d197198-Reviews-Hotel_Beau_Rivage-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
25;Nice;Hôtel Parisien;4.0;228;https://www.tripadvisor.fr/Hotel_Review-g187234-d627151-Reviews-Hotel_Parisien-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
26;Nice;Hotel Le Grimaldi by HappyCulture;4.5;556;https://www.tripadvisor.fr/Hotel_Review-g187234-d197193-Reviews-Hotel_Le_Grimaldi_by_HappyCulture-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d.html
27;Nice;Ibis Nice Palais des Congres Vieux Nice;4.0;715;https://www.tripadvisor.fr/Hotel_Review-g187234-d197858-Reviews-EasyHotel_Nice_Palais_des_Congres_Vieux_Nice-Nice_French_Riviera_Cote_d_Azur_Provence_A.html
