;city;hotel_name;hotel_rating;hotel_reviews;hotel_url
0;Paris;Novotel Paris Les Halles;4.0;5363;https://www.tripadvisor.fr/Hotel_Review-g187147-d197424-Reviews-Novotel_Paris_Les_Halles-Paris_Ile_de_France.html
1;Paris;CitizenM Paris Gare de Lyon;4.5;2109;https://www.tripadvisor.fr/Hotel_Review-g187147-d12455412-Reviews-CitizenM_Paris_Gare_de_Lyon-Paris_Ile_de_France.html
2;Paris;Hôtel Eiffel Blomet;4.5;899;https://www.tripadvisor.fr/Hotel_Review-g187147-d6395273-Reviews-Hotel_Eiffel_Blomet-Paris_Ile_de_France.html
3;Paris;Hôtel La Manufacture;4.5;2242;https://www.tripadvisor.fr/Hotel_Review-g187147-d197563-Reviews-Hotel_La_Manufacture-Paris_Ile_de_France.html
4;Paris;Pullman Paris Tour Eiffel;4.0;3258;https://www.tripadvisor.fr/Hotel_Review-g187147-d197985-Reviews-Pullman_Paris_Tour_Eiffel-Paris_Ile_de_France.html
5;Paris;Hyatt Regency Paris Étoile;4.0;1127;https://www.tripadvisor.fr/Hotel_Review-g187147-d595754-Reviews-Hyatt_Regency_Paris_Etoile-Paris_Ile_de_France.html
6;Paris;Novotel Paris Centre Gare Montparnasse;4.0;2448;https://www.tripadvisor.fr/Hotel_Review-g187147-d597573-Reviews-Novotel_Paris_Centre_Gare_Montparnasse-Paris_Ile_de_France.html
7;Paris;Hôtel Signature Saint Germain des Près;5.0;1596;https://www.tripadvisor.fr/Hotel_Review-g187147-d220000-Reviews-Hotel_Signature_St_Germain_des_Pres-Paris_Ile_de_France.html
8;Paris;Mercure Paris Centre Eiffel Tower Hotel;4.0;5548;https://www.tripadvisor.fr/Hotel_Review-g187147-d197656-Reviews-Mercure_Paris_Centre_Eiffel_Tower_Hotel-Paris_Ile_de_France.html
9;Paris;Hotel Europe Saint Severin;4.5;2179;https://www.tripadvisor.fr/Hotel_Review-g187147-d250927-Reviews-Hotel_Europe_Saint_Severin-Paris_Ile_de_France.html
10;Paris;Hotel Saint Petersbourg;4.5;1396;https://www.tripadvisor.fr/Hotel_Review-g187147-d228833-Reviews-Hotel_Saint_Petersbourg-Paris_Ile_de_France.html
11;Paris;Hôtel Malte - Astotel;5.0;1095;https://www.tripadvisor.fr/Hotel_Review-g187147-d228694-Reviews-Hotel_Malte_Astotel-Paris_Ile_de_France.html
12;Paris;Hôtel R de Paris;5.0;1096;https://www.tripadvisor.fr/Hotel_Review-g187147-d233583-Reviews-Hotel_R_de_Paris-Paris_Ile_de_France.html
13;Paris;Pullman Paris Centre - Bercy;4.5;3574;https://www.tripadvisor.fr/Hotel_Review-g187147-d207838-Reviews-Pullman_Paris_Centre_Bercy-Paris_Ile_de_France.html
14;Paris;Le Mareuil;4.5;1090;https://www.tripadvisor.fr/Hotel_Review-g187147-d264828-Reviews-Le_Mareuil-Paris_Ile_de_France.html
15;Paris;Citadines Saint-Germain-des-Pres Paris;4.5;2422;https://www.tripadvisor.fr/Hotel_Review-g187147-d208096-Reviews-Citadines_Saint_Germain_des_Pres_Paris-Paris_Ile_de_France.html
16;Paris;Hôtel Molière;5.0;650;https://www.tripadvisor.fr/Hotel_Review-g187147-d232545-Reviews-Hotel_Moliere-Paris_Ile_de_France.html
17;Paris;The Hoxton;4.5;827;https://www.tripadvisor.fr/Hotel_Review-g187147-d12537470-Reviews-The_Hoxton-Paris_Ile_de_France.html
18;Paris;25hours Hotel Terminus Nord;4.5;322;https://www.tripadvisor.fr/Hotel_Review-g187147-d653824-Reviews-25hours_Hotel_Terminus_Nord-Paris_Ile_de_France.html
19;Paris;Hotel Fabric;5.0;1565;https://www.tripadvisor.fr/Hotel_Review-g187147-d4340356-Reviews-Hotel_Fabric-Paris_Ile_de_France.html
20;Paris;Hotel la Nouvelle Republique;5.0;399;https://www.tripadvisor.fr/Hotel_Review-g187147-d12829774-Reviews-Hotel_la_Nouvelle_Republique-Paris_Ile_de_France.html
21;Paris;Hotel Relais Bosquet Paris;4.5;2711;https://www.tripadvisor.fr/Hotel_Review-g187147-d229602-Reviews-Hotel_Relais_Bosquet_Paris-Paris_Ile_de_France.html
22;Paris;Hôtel Mademoiselle;4.5;1707;https://www.tripadvisor.fr/Hotel_Review-g187147-d233514-Reviews-Hotel_Mademoiselle-Paris_Ile_de_France.html
23;Paris;Mercure Paris Montmartre Sacre Coeur;4.0;3082;https://www.tripadvisor.fr/Hotel_Review-g187147-d197567-Reviews-Mercure_Paris_Montmartre_Sacre_Coeur-Paris_Ile_de_France.html
24;Paris;MARAIS HÔme Hotel;4.5;857;https://www.tripadvisor.fr/Hotel_Review-g187147-d269104-Reviews-Hotel_Marais_Home-Paris_Ile_de_France.html
25;Paris;Hotel Marais Bastille;4.5;1040;https://www.tripadvisor.fr/Hotel_Review-g187147-d231053-Reviews-Hotel_Marais_Bastille-Paris_Ile_de_France.html
26;Paris;Hidden Hotel;4.5;1472;https://www.tripadvisor.fr/Hotel_Review-g187147-d1396456-Reviews-Hidden_Hotel-Paris_Ile_de_France.html
27;Paris;Hôtel Balmoral;4.5;1608;https://www.tripadvisor.fr/Hotel_Review-g187147-d233573-Reviews-Hotel_Balmoral-Paris_Ile_de_France.html
28;Paris;Hôtel Augustin - Astotel;4.5;1362;https://www.tripadvisor.fr/Hotel_Review-g187147-d197551-Reviews-Hotel_Augustin_Astotel-Paris_Ile_de_France.html
29;Paris;Hôtel 34B - Astotel;5.0;2474;https://www.tripadvisor.fr/Hotel_Review-g187147-d9566832-Reviews-Hotel_34B_Astotel-Paris_Ile_de_France.html
30;Paris;Four Seasons Hotel George V;5.0;3031;https://www.tripadvisor.fr/Hotel_Review-g187147-d188975-Reviews-Four_Seasons_Hotel_George_V-Paris_Ile_de_France.html
31;Paris;Shangri-La Hotel Paris;4.5;1708;https://www.tripadvisor.fr/Hotel_Review-g187147-d1959562-Reviews-Shangri_La_Hotel_Paris-Paris_Ile_de_France.html
32;Paris;Hilton Paris Opera;4.0;2701;https://www.tripadvisor.fr/Hotel_Review-g187147-d207718-Reviews-Hilton_Paris_Opera-Paris_Ile_de_France.html
33;Paris;Hotel Marignan Champs-Elysées;4.5;862;https://www.tripadvisor.fr/Hotel_Review-g187147-d228779-Reviews-Hotel_Marignan_Champs_Elysees-Paris_Ile_de_France.html
34;Paris;Grand Hotel du Palais Royal;5.0;1124;https://www.tripadvisor.fr/Hotel_Review-g187147-d617625-Reviews-Grand_Hotel_du_Palais_Royal-Paris_Ile_de_France.html
35;Paris;9HOTEL MONTPARNASSE;4.0;851;https://www.tripadvisor.fr/Hotel_Review-g187147-d197618-Reviews-9HOTEL_MONTPARNASSE-Paris_Ile_de_France.html
36;Paris;Maison Souquet;5.0;956;https://www.tripadvisor.fr/Hotel_Review-g187147-d7182695-Reviews-Maison_Souquet-Paris_Ile_de_France.html
37;Paris;Kyriad Hotel Paris Bercy Village;4.0;1518;https://www.tripadvisor.fr/Hotel_Review-g187147-d233766-Reviews-Kyriad_Hotel_Paris_Bercy_Village-Paris_Ile_de_France.html
38;Paris;Novotel Paris Centre Bercy;4.0;1807;https://www.tripadvisor.fr/Hotel_Review-g187147-d197487-Reviews-Novotel_Paris_Centre_Bercy-Paris_Ile_de_France.html
39;Paris;Relais Christine;4.5;1195;https://www.tripadvisor.fr/Hotel_Review-g187147-d219977-Reviews-Relais_Christine-Paris_Ile_de_France.html
40;Paris;Auberge de Jeunesse MIJE  Fourcy;4.0;938;https://www.tripadvisor.fr/Hotel_Review-g187147-d239650-Reviews-Auberge_de_Jeunesse_MIJE_Fourcy-Paris_Ile_de_France.html
41;Paris;Terrass'' Hotel by MH;4.5;1231;https://www.tripadvisor.fr/Hotel_Review-g187147-d198085-Reviews-Terrass_Hotel_by_MH-Paris_Ile_de_France.html
42;Paris;Novotel Paris Gare de Lyon;4.0;3597;https://www.tripadvisor.fr/Hotel_Review-g187147-d197486-Reviews-Novotel_Paris_Gare_de_Lyon-Paris_Ile_de_France.html
43;Paris;Hotel Da Vinci & Spa;5.0;1110;https://www.tripadvisor.fr/Hotel_Review-g187147-d6675948-Reviews-Hotel_Da_Vinci_Spa-Paris_Ile_de_France.html
44;Paris;Hotel Brighton - Esprit de France;4.5;2281;https://www.tripadvisor.fr/Hotel_Review-g187147-d233725-Reviews-Hotel_Brighton_Esprit_de_France-Paris_Ile_de_France.html
45;Paris;Hôtel Astoria - Astotel;4.5;1562;https://www.tripadvisor.fr/Hotel_Review-g187147-d230431-Reviews-Hotel_Astoria_Astotel-Paris_Ile_de_France.html
46;Paris;Hôtel Lorette - Astotel;4.5;1702;https://www.tripadvisor.fr/Hotel_Review-g187147-d228848-Reviews-Hotel_Lorette_Astotel-Paris_Ile_de_France.html
47;Paris;Hotel Residence Foch;4.5;2648;https://www.tripadvisor.fr/Hotel_Review-g187147-d234633-Reviews-Hotel_Residence_Foch-Paris_Ile_de_France.html
48;Paris;Hotel Mistral;4.5;1354;https://www.tripadvisor.fr/Hotel_Review-g187147-d608193-Reviews-Hotel_Mistral-Paris_Ile_de_France.html
49;Paris;Hotel Terminus Lyon;4.0;1537;https://www.tripadvisor.fr/Hotel_Review-g187147-d282205-Reviews-Hotel_Terminus_Lyon-Paris_Ile_de_France.html
50;Paris;Le Parisis Paris Tour Eiffel;4.5;504;https://www.tripadvisor.fr/Hotel_Review-g187147-d207682-Reviews-Le_Parisis_Paris_Tour_Eiffel-Paris_Ile_de_France.html
51;Paris;Hotel Alfred Sommier;4.5;170;https://www.tripadvisor.fr/Hotel_Review-g187147-d14061298-Reviews-Hotel_Alfred_Sommier-Paris_Ile_de_France.html
52;Paris;Hotel France Albion;4.5;1456;https://www.tripadvisor.fr/Hotel_Review-g187147-d282185-Reviews-Hotel_France_Albion-Paris_Ile_de_France.html
53;Paris;Hotel Helussi;5.0;982;https://www.tripadvisor.fr/Hotel_Review-g187147-d6707434-Reviews-Hotel_Helussi-Paris_Ile_de_France.html
54;Paris;Hotel de Londres Eiffel;4.5;1765;https://www.tripadvisor.fr/Hotel_Review-g187147-d265476-Reviews-Hotel_de_Londres_Eiffel-Paris_Ile_de_France.html
55;Paris;Hotel de l'Empereur;4.5;1195;https://www.tripadvisor.fr/Hotel_Review-g187147-d219992-Reviews-Hotel_de_l_Empereur-Paris_Ile_de_France.html
56;Paris;Cler Hotel;5.0;782;https://www.tripadvisor.fr/Hotel_Review-g187147-d266280-Reviews-Cler_Hotel-Paris_Ile_de_France.html
57;Paris;Hôtel Muguet;4.5;1862;https://www.tripadvisor.fr/Hotel_Review-g187147-d271839-Reviews-Hotel_Muguet-Paris_Ile_de_France.html
58;Paris;Le Bristol Paris;5.0;2044;https://www.tripadvisor.fr/Hotel_Review-g187147-d188729-Reviews-Le_Bristol_Paris-Paris_Ile_de_France.html
59;Paris;Hôtel Bradford Elysées - Astotel;4.5;1933;https://www.tripadvisor.fr/Hotel_Review-g187147-d197946-Reviews-Hotel_Bradford_Elysees_Astotel-Paris_Ile_de_France.html
60;Paris;Grand Hotel Leveque;4.0;812;https://www.tripadvisor.fr/Hotel_Review-g187147-d220006-Reviews-Grand_Hotel_Leveque-Paris_Ile_de_France.html
61;Paris;Maison Albar Hotels - Le Diamond;4.5;1305;https://www.tripadvisor.fr/Hotel_Review-g187147-d1488818-Reviews-Maison_Albar_Hotels_Le_Diamond-Paris_Ile_de_France.html
62;Paris;Hotel Armoni;4.5;828;https://www.tripadvisor.fr/Hotel_Review-g187147-d197512-Reviews-Hotel_Armoni-Paris_Ile_de_France.html
63;Paris;Villa Royale;4.0;1049;https://www.tripadvisor.fr/Hotel_Review-g187147-d240923-Reviews-Villa_Royale-Paris_Ile_de_France.html
64;Paris;Hôtel Cécilia Paris;4.5;1310;https://www.tripadvisor.fr/Hotel_Review-g187147-d230460-Reviews-Hotel_Cecilia_Paris-Paris_Ile_de_France.html
65;Paris;The Westin Paris - Vendôme;4.0;4335;https://www.tripadvisor.fr/Hotel_Review-g187147-d587294-Reviews-The_Westin_Paris_Vendome-Paris_Ile_de_France.html
66;Paris;Hôtel Grand Powers;5.0;186;https://www.tripadvisor.fr/Hotel_Review-g187147-d228837-Reviews-Hotel_Grand_Powers-Paris_Ile_de_France.html
67;Paris;Le Relais Montmartre;4.5;1283;https://www.tripadvisor.fr/Hotel_Review-g187147-d596305-Reviews-Le_Relais_Montmartre-Paris_Ile_de_France.html
68;Paris;Madison Hotel;4.5;1182;https://www.tripadvisor.fr/Hotel_Review-g187147-d228699-Reviews-Madison_Hotel-Paris_Ile_de_France.html
69;Paris;Courtyard by Marriott Paris Gare de Lyon;4.0;214;https://www.tripadvisor.fr/Hotel_Review-g187147-d15243992-Reviews-Courtyard_by_Marriott_Paris_Gare_de_Lyon-Paris_Ile_de_France.html
70;Paris;La Chambre du Marais;5.0;467;https://www.tripadvisor.fr/Hotel_Review-g187147-d10319445-Reviews-La_Chambre_du_Marais-Paris_Ile_de_France.html
