;city;hotel_name;hotel_rating;hotel_reviews;hotel_url
0;Toulouse;Pullman Toulouse Centre Ramblas;4.5;1580;https://www.tripadvisor.fr/Hotel_Review-g187175-d196889-Reviews-Pullman_Toulouse_Centre_Ramblas-Toulouse_Haute_Garonne_Occitanie.html
1;Toulouse;Campanile Toulouse Ouest - Purpan;4.0;482;https://www.tripadvisor.fr/Hotel_Review-g187175-d238838-Reviews-Campanile_Toulouse_Ouest_Purpan-Toulouse_Haute_Garonne_Occitanie.html
2;Toulouse;Hôtel Raymond 4 Toulouse;4.0;496;https://www.tripadvisor.fr/Hotel_Review-g187175-d219736-Reviews-Hotel_Raymond_4_Toulouse-Toulouse_Haute_Garonne_Occitanie.html
3;Toulouse;NH Toulouse Airport;4.5;121;https://www.tripadvisor.fr/Hotel_Review-g187175-d14903238-Reviews-NH_Toulouse_Airport-Toulouse_Haute_Garonne_Occitanie.html
4;Toulouse;Grand Hôtel de l'Opéra;4.0;894;https://www.tripadvisor.fr/Hotel_Review-g187175-d198336-Reviews-Grand_Hotel_de_l_Opera-Toulouse_Haute_Garonne_Occitanie.html
5;Toulouse;Ibis Toulouse Centre;4.0;1262;https://www.tripadvisor.fr/Hotel_Review-g187175-d196896-Reviews-Ibis_Toulouse_Centre-Toulouse_Haute_Garonne_Occitanie.html
6;Toulouse;Ibis Styles Toulouse Capitole;4.0;534;https://www.tripadvisor.fr/Hotel_Review-g187175-d309589-Reviews-Ibis_Styles_Toulouse_Capitole-Toulouse_Haute_Garonne_Occitanie.html
7;Toulouse;Novotel Toulouse Centre Wilson;4.0;1678;https://www.tripadvisor.fr/Hotel_Review-g187175-d2554223-Reviews-Novotel_Toulouse_Centre_Wilson-Toulouse_Haute_Garonne_Occitanie.html
8;Toulouse;Ibis Budget Toulouse Centre;3.5;1324;https://www.tripadvisor.fr/Hotel_Review-g187175-d238860-Reviews-Ibis_Budget_Toulouse_Centre-Toulouse_Haute_Garonne_Occitanie.html
9;Toulouse;Hôtel Albert 1er;4.5;1135;https://www.tripadvisor.fr/Hotel_Review-g187175-d236598-Reviews-Hotel_Toulouse_Albert_1er-Toulouse_Haute_Garonne_Occitanie.html
10;Toulouse;Mama Shelter Toulouse;4.0;172;https://www.tripadvisor.fr/Hotel_Review-g187175-d15215097-Reviews-Mama_Shelter_Toulouse-Toulouse_Haute_Garonne_Occitanie.html
11;Toulouse;Ibis Budget Toulouse Cité de l'Espace 1;3.5;334;https://www.tripadvisor.fr/Hotel_Review-g187175-d6215840-Reviews-Ibis_Budget_Toulouse_Cite_de_l_Espace_1-Toulouse_Haute_Garonne_Occitanie.html
12;Toulouse;Mercure Toulouse Centre Compans;4.0;593;https://www.tripadvisor.fr/Hotel_Review-g187175-d497234-Reviews-Mercure_Toulouse_Centre_Compans-Toulouse_Haute_Garonne_Occitanie.html
13;Toulouse;Campanile Toulouse Sud Balma - Cité de l'Espace;4.0;608;https://www.tripadvisor.fr/Hotel_Review-g187175-d312926-Reviews-Campanile_Toulouse_Sud_Balma_Cite_de_l_Espace-Toulouse_Haute_Garonne_Occitanie.html
14;Toulouse;La Cour des Consuls Hotel&Spa Toulouse-MGallery;4.5;471;https://www.tripadvisor.fr/Hotel_Review-g187175-d8542963-Reviews-La_Cour_des_Consuls_Hotel_Spa_Toulouse_MGallery-Toulouse_Haute_Garonne_Occitanie.html
15;Toulouse;Mercure Toulouse Centre Wilson Capitole;4.0;986;https://www.tripadvisor.fr/Hotel_Review-g187175-d196890-Reviews-Mercure_Toulouse_Centre_Wilson_Capitole-Toulouse_Haute_Garonne_Occitanie.html
16;Toulouse;Ibis Toulouse Ponts Jumeaux;4.0;715;https://www.tripadvisor.fr/Hotel_Review-g187175-d196898-Reviews-Ibis_Toulouse_Ponts_Jumeaux-Toulouse_Haute_Garonne_Occitanie.html
17;Toulouse;Villa du Taur;4.5;150;https://www.tripadvisor.fr/Hotel_Review-g187175-d12362875-Reviews-Villa_du_Taur-Toulouse_Haute_Garonne_Occitanie.html
18;Toulouse;Hotel des Beaux Arts;4.0;166;https://www.tripadvisor.fr/Hotel_Review-g187175-d198337-Reviews-Hotel_des_Beaux_Arts-Toulouse_Haute_Garonne_Occitanie.html
19;Toulouse;Hotel de Brienne;4.0;596;https://www.tripadvisor.fr/Hotel_Review-g187175-d236888-Reviews-Hotel_de_Brienne-Toulouse_Haute_Garonne_Occitanie.html
20;Toulouse;Kyriad Toulouse Sud - Roques;3.0;170;https://www.tripadvisor.fr/Hotel_Review-g187175-d543546-Reviews-Kyriad_Toulouse_Sud_Roques-Toulouse_Haute_Garonne_Occitanie.html
21;Toulouse;Crowne Plaza Toulouse;4.0;1228;https://www.tripadvisor.fr/Hotel_Review-g187175-d198338-Reviews-Crowne_Plaza_Toulouse-Toulouse_Haute_Garonne_Occitanie.html
22;Toulouse;Nemea Appart'hotel Residence Saint-Martin;3.5;205;https://www.tripadvisor.fr/Hotel_Review-g187175-d1014522-Reviews-Nemea_Appart_hotel_Residence_Saint_Martin-Toulouse_Haute_Garonne_Occitanie.html
23;Toulouse;Le Grand Balcon;4.5;1020;https://www.tripadvisor.fr/Hotel_Review-g187175-d556470-Reviews-Le_Grand_Balcon-Toulouse_Haute_Garonne_Occitanie.html
24;Toulouse;Residhotel Toulouse Centre;4.0;315;https://www.tripadvisor.fr/Hotel_Review-g187175-d6487790-Reviews-Residhotel_Toulouse_Centre-Toulouse_Haute_Garonne_Occitanie.html
25;Toulouse;Ibis Toulouse Gare Matabiau;4.0;723;https://www.tripadvisor.fr/Hotel_Review-g187175-d232395-Reviews-Ibis_Toulouse_Gare_Matabiau-Toulouse_Haute_Garonne_Occitanie.html
26;Toulouse;Néméa Appart'Hôtel Residence Toulouse Concorde;4.0;309;https://www.tripadvisor.fr/Hotel_Review-g187175-d238858-Reviews-Nemea_Appart_Hotel_Residence_Toulouse_Concorde-Toulouse_Haute_Garonne_Occitanie.html
27;Toulouse;Hotel Palladia;4.0;393;https://www.tripadvisor.fr/Hotel_Review-g187175-d228774-Reviews-Hotel_Palladia-Toulouse_Haute_Garonne_Occitanie.html
28;Toulouse;Hotel Constellation;3.5;149;https://www.tripadvisor.fr/Hotel_Review-g187175-d2299076-Reviews-Nemea_Appart_hotel_Toulouse_Constellation-Toulouse_Haute_Garonne_Occitanie.html
29;Toulouse;Adagio Access Toulouse Jolimont;3.5;374;https://www.tripadvisor.fr/Hotel_Review-g187175-d530450-Reviews-Adagio_Access_Toulouse_Jolimont-Toulouse_Haute_Garonne_Occitanie.html
31;Toulouse;Hôtel Saint Claire;4.5;546;https://www.tripadvisor.fr/Hotel_Review-g187175-d636307-Reviews-Hotel_Saint_Claire-Toulouse_Haute_Garonne_Occitanie.html
32;Toulouse;Hotel Heliot;4.5;384;https://www.tripadvisor.fr/Hotel_Review-g187175-d636609-Reviews-Hotel_Heliot-Toulouse_Haute_Garonne_Occitanie.html
41;Toulouse;Hotel La Flânerie;4.5;146;https://www.tripadvisor.fr/Hotel_Review-g1080537-d253597-Reviews-Hotel_La_Flanerie-Vieille_Toulouse_Toulouse_Haute_Garonne_Occitanie.html
42;Toulouse;Lagrange Appart Hotel Saint Michel;4.0;212;https://www.tripadvisor.fr/Hotel_Review-g187175-d3246985-Reviews-Lagrange_Appart_Hotel_Saint_Michel-Toulouse_Haute_Garonne_Occitanie.html
47;Toulouse;Hôtel Gascogne;4.0;230;https://www.tripadvisor.fr/Hotel_Review-g187175-d236885-Reviews-Hotel_Gascogne-Toulouse_Haute_Garonne_Occitanie.html
48;Toulouse;Residhome Appart Hotel Tolosa;4.0;180;https://www.tripadvisor.fr/Hotel_Review-g187175-d1509916-Reviews-Residhome_Appart_Hotel_Tolosa-Toulouse_Haute_Garonne_Occitanie.html
49;Toulouse;Hôtel d'Orsay;4.0;230;https://www.tripadvisor.fr/Hotel_Review-g187175-d236889-Reviews-Hotel_d_Orsay-Toulouse_Haute_Garonne_Occitanie.html
50;Toulouse;Ibis Toulouse Purpan;4.0;189;https://www.tripadvisor.fr/Hotel_Review-g187175-d236869-Reviews-Ibis_Toulouse_Purpan-Toulouse_Haute_Garonne_Occitanie.html
51;Toulouse;Mercure Toulouse Centre Saint-Georges;4.0;827;https://www.tripadvisor.fr/Hotel_Review-g187175-d196891-Reviews-Mercure_Toulouse_Centre_Saint_Georges-Toulouse_Haute_Garonne_Occitanie.html
52;Toulouse;Grand Hôtel d'Orléans;3.5;359;https://www.tripadvisor.fr/Hotel_Review-g187175-d576791-Reviews-Grand_Hotel_d_Orleans-Toulouse_Haute_Garonne_Occitanie.html
53;Toulouse;Hôtel Royal Wilson;4.0;267;https://www.tripadvisor.fr/Hotel_Review-g187175-d1222012-Reviews-Hotel_Royal_Wilson-Toulouse_Haute_Garonne_Occitanie.html
54;Toulouse;Ibis Styles Toulouse Centre Gare;3.5;822;https://www.tripadvisor.fr/Hotel_Review-g187175-d230190-Reviews-Ibis_Styles_Toulouse_Centre_Gare-Toulouse_Haute_Garonne_Occitanie.html
55;Toulouse;Novotel Toulouse Centre Compans Caffarelli;4.0;1085;https://www.tripadvisor.fr/Hotel_Review-g187175-d196893-Reviews-Novotel_Toulouse_Centre_Compans_Caffarelli-Toulouse_Haute_Garonne_Occitanie.html
56;Toulouse;Hotel Le Prado;4.0;137;https://www.tripadvisor.fr/Hotel_Review-g187175-d236872-Reviews-Hotel_Akena_Le_Prado-Toulouse_Haute_Garonne_Occitanie.html
57;Toulouse;Hotel Saint Sernin;4.0;290;https://www.tripadvisor.fr/Hotel_Review-g187175-d1089092-Reviews-Hotel_Saint_Sernin-Toulouse_Haute_Garonne_Occitanie.html
58;Toulouse;Maison d'hotes Anjali;4.5;127;https://www.tripadvisor.fr/Hotel_Review-g187175-d1876053-Reviews-Maison_d_hotes_Anjali-Toulouse_Haute_Garonne_Occitanie.html
59;Toulouse;Courtyard by Marriott Toulouse Airport;4.0;410;https://www.tripadvisor.fr/Hotel_Review-g187175-d1393029-Reviews-Courtyard_Toulouse_Airport-Toulouse_Haute_Garonne_Occitanie.html
60;Toulouse;Ibis Budget Toulouse Centre;3.5;1317;https://www.tripadvisor.fr/Hotel_Review-g187175-d238860-Reviews-Ibis_Budget_Toulouse_Centre-Toulouse_Haute_Garonne_Occitanie.html
61;Toulouse;IBIS BUDGET TOULOUSE CITE ESPACE 2;3.5;479;https://www.tripadvisor.fr/Hotel_Review-g187175-d1826135-Reviews-Ibis_Budget_Toulouse_Cite_de_l_Espace_2-Toulouse_Haute_Garonne_Occitanie.html
62;Toulouse;Citadines Wilson Toulouse;3.5;244;https://www.tripadvisor.fr/Hotel_Review-g187175-d196895-Reviews-Citadines_Wilson_Toulouse-Toulouse_Haute_Garonne_Occitanie.html
63;Toulouse;Hotel Ambassadeurs;3.5;229;https://www.tripadvisor.fr/Hotel_Review-g187175-d236600-Reviews-Hotel_Ambassadeurs-Toulouse_Haute_Garonne_Occitanie.html
64;Toulouse;Garden Hôtel;4.0;107;https://www.tripadvisor.fr/Hotel_Review-g187175-d236890-Reviews-Garden_Hotel-Toulouse_Haute_Garonne_Occitanie.html
66;Toulouse;Appart'hôtel Odalys Colombélie;3.5;150;https://www.tripadvisor.fr/Hotel_Review-g187175-d7677270-Reviews-Appart_hotel_Odalys_Colombelie-Toulouse_Haute_Garonne_Occitanie.html
67;Toulouse;Ibis Toulouse Universite;3.5;401;https://www.tripadvisor.fr/Hotel_Review-g187175-d232398-Reviews-Ibis_Toulouse_Universite-Toulouse_Haute_Garonne_Occitanie.html
68;Toulouse;La Quietat;3.5;153;https://www.tripadvisor.fr/Hotel_Review-g187175-d635502-Reviews-La_Quietat-Toulouse_Haute_Garonne_Occitanie.html
69;Toulouse;B&B Hotel Toulouse Centre;3.5;165;https://www.tripadvisor.fr/Hotel_Review-g187175-d662294-Reviews-B_B_HOTEL_Toulouse_Centre-Toulouse_Haute_Garonne_Occitanie.html
70;Toulouse;Adagio Access Toulouse Saint-Cyprien;3.5;316;https://www.tripadvisor.fr/Hotel_Review-g187175-d1539059-Reviews-Adagio_Access_Toulouse_Saint_Cyprien-Toulouse_Haute_Garonne_Occitanie.html
71;Toulouse;Hôtel La Chartreuse;4.0;74;https://www.tripadvisor.fr/Hotel_Review-g187175-d1222014-Reviews-La_Chartreuse_Hotel-Toulouse_Haute_Garonne_Occitanie.html
72;Toulouse;Hôtel Icare;3.5;154;https://www.tripadvisor.fr/Hotel_Review-g187175-d236880-Reviews-Hotel_Icare-Toulouse_Haute_Garonne_Occitanie.html
73;Toulouse;Citiz Hotel;3.5;287;https://www.tripadvisor.fr/Hotel_Review-g187175-d1768630-Reviews-Citiz_Hotel-Toulouse_Haute_Garonne_Occitanie.html
74;Toulouse;Montempô Toulouse;4.0;110;https://www.tripadvisor.fr/Hotel_Review-g187175-d10793552-Reviews-Montempo_Toulouse-Toulouse_Haute_Garonne_Occitanie.html
75;Toulouse;La Petite Auberge  de Saint-Sernin;3.5;143;https://www.tripadvisor.fr/Hotel_Review-g187175-d2356443-Reviews-La_Petite_Auberge_de_Saint_Sernin-Toulouse_Haute_Garonne_Occitanie.html
76;Toulouse;Novotel Toulouse Purpan Aéroport;4.0;789;https://www.tripadvisor.fr/Hotel_Review-g187175-d196894-Reviews-Novotel_Toulouse_Purpan_Aeroport-Toulouse_Haute_Garonne_Occitanie.html
77;Toulouse;Parenthese Concept Room;5.0;23;https://www.tripadvisor.fr/Hotel_Review-g187175-d15307878-Reviews-Parenthese_Concept_Room-Toulouse_Haute_Garonne_Occitanie.html
78;Toulouse;B&B HOTEL Toulouse Basso Cambo;4.0;92;https://www.tripadvisor.fr/Hotel_Review-g187175-d1236546-Reviews-B_B_Hotel_Toulouse_Basso_Cambo-Toulouse_Haute_Garonne_Occitanie.html
79;Toulouse;Hotel de Bordeaux;3.5;88;https://www.tripadvisor.fr/Hotel_Review-g187175-d238841-Reviews-Hotel_de_Bordeaux-Toulouse_Haute_Garonne_Occitanie.html
80;Toulouse;Hôtel Croix-Baragnon;4.5;48;https://www.tripadvisor.fr/Hotel_Review-g187175-d236866-Reviews-Hotel_Croix_Baragnon-Toulouse_Haute_Garonne_Occitanie.html
81;Toulouse;Hôtel Ours Blanc Wilson;4.0;343;https://www.tripadvisor.fr/Hotel_Review-g187175-d758306-Reviews-Hotel_Ours_Blanc_Wilson-Toulouse_Haute_Garonne_Occitanie.html
