;city;hotel_name;ind_rating;review_txt
0;Bordeaux;Hôtel Pullman Bordeaux Lac;4.0;Rien d’exceptionnel. Accueil froid mais rapide. Une heure assis au bar le lendemain de la nuit et personne pour s’occuper de moi ce n’est qu’au changement de service qu’un regard s’est porté sur ma personne! Désolant pour ce type d’hôtel 
1;Bordeaux;Hôtel Pullman Bordeaux Lac;2.0;séjour de 6 jours suite à l'organisation d'une convention de presque 300 personnes sur 3 jours. mauvais retour sur les chambres ( évacuation bouchée, mauvais entretien) Prix exorbitant du petit déjeuner (26€) qui n'est pas sensationnel  Personnel majoritairement assez exécrable. Peu souriant. Peu arrangeant. Negociation délicate. Sur un groupe de presque 300 personnes aucun geste commerciale de fait sur les chambres. j'ai du réclamer que l'équipe organisatrice béneficie d'un surclasssement DIner : bof et vins pas bon du tout : un tres tres mauvais bordeaux. Meme pas un bordeaux superieur ou grave. Juste un Bordeaux mauvais mauvais. Très déçue.
2;Bordeaux;Hôtel Pullman Bordeaux Lac;5.0;"L""espace est important avec un sentiment de liberté. Notre séjour fut un peu perturbé par quelques améliorations comblé par un personnel humain et compétent. Marie, Gaëlle Charles et Chritiné ainsi que tous les autres on fait en sorte que nous soyons au mieux. Nous les remercions !  La réception fut à la hauteur pour nous aider aux bagages et durant le séjour. Nous ne pouvons citer des noms mais nous les remercions aussi. Nous étions bien durant ces 6 nuits de repos. A bientôt Mme GRUX Lucienne Merci "
3;Bordeaux;Hôtel Pullman Bordeaux Lac;3.0;L hotel est toujours de qualité mais le restaurant doit se professionnaliser. Ca manque un peu de classe et de finesse pour le dîner. Le choix des vins devrait être un peu plus pointu et le petit-déjeuner mieux tenu.
4;Bordeaux;Hôtel Pullman Bordeaux Lac;4.0;Cet établissement est très bien situé si vous avez un congrès au parc des expo. En revanche il est (vraiment) loin de la gare, compter une bonne demi heure de tram. Les chambres sont confortables et fonctionnelles. L’accueil, bien qu’un peu long, est sympathique. En revanche le restaurant de l’hôtel est un décevant.
5;Bordeaux;Hôtel Pullman Bordeaux Lac;5.0;L’hôtel est situé près d’un lac. L’accueil est chaleureux. Les chambres sont spacieuses, fonctionnelles et bien insonorisées. L’hôtel est propre. Le rapport qualité/prix est très intéressant. Je recommande fortement. 
6;Bordeaux;Hôtel Pullman Bordeaux Lac;4.0;Acceuil très chaleureux, j 'ai eu droit à un surclassement (Merci programme Accor) une suite junior top, propre,  grand salon, un lit où l'on ce perds, très bonne literie. J'y ai pasé une semaine avec ma chérie, le peti déjeuner de très bonne tenue, joli choix, juste un problème de WC résolu de suite. Nous avons adoré, chambre insonorisée, emplacement top, autant prendre les transports en commun juste devant l'hôtel, sinon la galère pour ce parquer en ville. Seul bémol, le restaurant étai fermé 4 jours, alors si on aime la cuisine micro-onde vous êtes servi. Non je ne comprends pas cet hôtel de servir des mets aussi banal, à l'intention de la direction, si vous regardez les critiques et les photos ce sont tout vos plats en bocaux, même le 31 vous avez proposé que ça, je suis sûr…
7;Bordeaux;Hôtel Pullman Bordeaux Lac;3.0;Premier séjour au Pullman Bordeaux Lac. Que dire ?. Comme à l'habitude, un personnel toujours aussi agréable et accueillant. Rien à redire non plus sur l'emplacement de l'hôtel. Cependant, pour ce qui est de la Suite junior, on est pas au niveau d'un Pullman. Forte odeur de cigarettes dans la chambre (signalé, mais impossible de bénéficier d'une autre suite, elles sont toutes occupées), un canapé-lit d'appoint vétuste et cassé, une propreté à revoir (traces de café séchées sur le mobilier), et pour couronner le tout un chauffage vacillant. Il faisait froid dans la chambre en ce début d'année (Signalé, mais pas de solution concrète). Bref, cela aurait pu être très bien, mais l'entretien laisse carrément à désirer. Habitué des établissements Pullman, une vraie déception, surtout…
8;Bordeaux;Hôtel Pullman Bordeaux Lac;2.0;Le manque d'insonorisation entre les chambres annule malheureusement l’ensemble des autres critères d'evaluation, pour un hotel avec ce standing annoncé c'est dommage, si vous souhaitez vous reposer éviter cet établissement.
9;Bordeaux;Hôtel Pullman Bordeaux Lac;4.0;Nous avons passé 2 jours en couple dans cet hôtel. Très beau hall d’entrée et personnel très agréable. Niveau chambre nous nous attendions à un peu plus luxueux pour un Pullman mais c’était correct. Niveau propreté quelques petits détails qui n’allaient pas (un petit peu de poussière sur la cafetière, petite tâche de café...) mais tout de même propre. L’emplacement est excellent avec le lac juste en face (demandez une chambre avec vue). Le tram est juste en face, qui vous amène dans le centre de Bordeaux en environ 20 min.
