;city;hotel_name;ind_rating;review_txt
0;Lille;Novotel Lille Aéroport;4.0;Cela fait plusieurs fois que je séjourne dans cet hôtel  A notre arrivée , tout de passe assez rapidement.  Par contre , malgré le checkin en ligne avec prise des informations de ma carte visa , j’ai du donner à nouveau ma carte pour une empreinte bancaire. Je me demande à quoi cela sert de donner les informations de sa carte lors du checkin en ligne  La chambre est spacieuse même en dormant à 4  Le bar a une ambiance assez sympathique.  Par contre les serveurs étaient plus occupés par la réception qu’il y avait lieu au fond du bar que par les autres personnes du bar.  Le serveur vient prendre commande sans meme nous donner la carte avec les boissons disponibles.  Une fois la commande passée , le serveur ne veut pas prendre le verre de vin commandé par mon épouse comme boisson prise avec le ticket de boisson de bienvenue . Il préfère prendre une boisson moins coûteuse de notre addition. Lors de notre départ, on remarquera que ce même verre de vin nous a été facturé 2€ en plus !  La nuit, l’hôtel est très très calme.  La salle de sport est tout aussi agréable et est ouverte 24h sur 24.  Le petit déjeuner est complet   A notre départ , la réceptionniste corrigera notre souci de bar ... mais pour cela on a pas mal perdu de temps  …
1;Lille;Novotel Lille Aéroport;5.0;L’hôtel est bien situé proche de l’aéroport et de l’autoroute. L’hôtel est calme. Le personnel est aux petits soins de l’accueil au départ. Les chambres sont spacieuses et la literie est très confortable. Merci pour cet accueil.
2;Lille;Novotel Lille Aéroport;5.0;Nous avions réservés cet hôtel pour sa situation géographique proche de l'aéroport. Le personnel à l'accueil est professionnel et à l'écoute. La chambre était spacieuse, propre et bien agencée. Le Repas du soir pris sur place était  de très bonne qualité et d'un bon rapport qualité prix. (serveurs agréables)  
3;Lille;Novotel Lille Aéroport;4.0;De l'extérieur, l’hôtel n'attirerait presque pas l'attention mais la déco intérieure refaite il y a 5 ans est douce et chaleureuse. A l'accueil, le personnel m'a paru très serviable et accueillant. Un bémol pour le tarif du petit déjeuner. Hôtel bien situé près de l'aéroport et de l'autoroute sans en subir les nuisances.
4;Lille;Novotel Lille Aéroport;1.0;Arrivés à 11h45 avec deux personnes de 89 et 91 ans ayant du mal à se déplacer... nous demandons juste à nous assoir à une table ( il n’y avait absolument personne) ....nous sommes faits renvoyés et priés de revenir à midi!!!! Jamais vu cela nulle part !!!!
5;Lille;Novotel Lille Aéroport;2.0;Bonjour   Nous avons une Tesla et nous sommes arrêtés le dimanche 22 décembre vers 11...il nous a fallu une demi heur et autre demandes pour avoir nos cafés...Jusque là...pas trop grave. Par contre ce vendredi, nous sommes arrivés au restaurant avec nos parents de 89 et 91 ans...qui marchent avec des cannes . Étants arrives à 11h 45, nous savions que ne serions pas servis avant 12 h ( aucun problème à cela )  Nous avons juste demandé à nous assoir à une table ( toutes libres ....et grand restaurant)....nous avons été priés de partir.....et de revenir pour 12 h... Cela ne nous est jamais arrivés en étant que tous les deux bien valides...dans aucun restaurant que ce soit du groupe Accord ( mon mari est favorit guest) ou autre. Accueil on peut le dire HORRIBLE...et INADMISSIBLE....
6;Lille;Novotel Lille Aéroport;5.0;Très bel établissement, parfaitement situé près de l'aéroport et des accès autoroutiers. Chambres agréables et tranquilles, restauration de bonne qualité, parking facile d'accès et entièrement sécurisé, personnel accueillant et aimable.
7;Lille;Novotel Lille Aéroport;5.0;Un accueil toujours parfait, nous avons vraiment l'impression d'être attendu. Le sourire est toujours sur les visage de chacun, une Maureen au top, une Lola, Anais toujours heureuse de nous recevoir.  Cela change des hôtels du groupe qui ont décidé de supprimer les zone d'accueil, juste une catastrophe. Une équipe au resto qui est vraiment au top aussi, bref nous sommes comme à la maison. 
8;Lille;Novotel Lille Aéroport;5.0;Toujours un accueil personnalisé +++ Un grand merci à Maureen qui est au top. Sans oublier Lola, Anaïs, Romane.... Toujours un plaisir de séjourner dans cet hôtel qui fait oublier que nous sommes loin de chez nous
9;Lille;Novotel Lille Aéroport;4.0;Cette odeur dans la chambre L'hôtel est bien situé. Il est moderne et les chambres sont propres et très bien insonorisée Le lit est immense.  Seul inconvénient c'est cette odeur de renfermé quand on entre a l'intérieur. Le petit-déjeuner est top et le personnel très agréable. Nous reviendrons sans problème 
