;city;hotel_name;ind_rating;review_txt
0;Lyon;Sofitel Lyon Bellecour;5.0;Bel Hôtel, confort, prestations. et idéalement situé en plein centre de bellecour. Vue sur fleuve superbe et le 8eme étage pour le petit déjeuner juste magique. Aucun bruit malgré gros trafic . Déco superbe
1;Lyon;Sofitel Lyon Bellecour;2.0;Bonjour Nous avons été très déçu par les services de l'hôtel,la décoration des chambres,l'amabilité du personnel du bar du RDC et le prix du parking de 30 € par jour. Nous avons eu une chambre avec la vue sur la climatisation  Heureusement que la vue lors du pdj a rattrapé un peu le tout Je vous conseille d'aller plutôt dans un vrai 5 étoiles l'intercontinental,l'hôtel Dieu
2;Lyon;Sofitel Lyon Bellecour;5.0;L'accueil est toujours au top niveau, on s'y sent bien et malgré quelques petits détails de vieillissement, cet hôtel a conservé son niveau de confort. Quel plaisir de prendre le petit déjeuner au 8ème étage, surtout quand il est qualitatif.
3;Lyon;Sofitel Lyon Bellecour;5.0;2 nuits dans cet hôtel nous avons profité du Black Friday du groupe Accord sans aucun regret  Un accueil très chaleureux  Une chambre en angle avec vue sur le Rhône (chambre 205) Que dire de la literie un pur bonheur ... Une nespresso dans la chambre avec 2 capsules par jour Le petit déjeuner se prend au 8eme étage avec une vue magnifique  Du sucre au salé, des produits sans gluten Vous trouverez forcément votre bonheur avec tout ces produits frais La rue de la république tout près avec ses magasins et le centre commercial de la part Dieu a 20 mn à pied  Une adresse à recommander Nous reviendrons
4;Lyon;Sofitel Lyon Bellecour;4.0;Bel établissement, très bien situé. La literie est excellente, le bar panoramique du 8ème étage est presque parfait: vue effectivement superbe, assiettes proposées à l’apéritif très raffinées et de qualité, tout comme les cocktails. Le seul petit défaut est le temps d’attente pour être servi (30 minutes alors que nous n’étions que 2 et que le bar était loin d’afficher complet).  Le restaurant gastronomique était complet et nous avons donc dîné au Silk (la brasserie): cuisine de qualité et service professionnel et sympathique, le tout pour un bon rapport qualité prix.  Le petit déjeuner est parfait et servi au 8éme étage dans le restaurant gastro. Les jeunes filles au service sont charmantes et professionnelles. Nous avons passé un excellent week-end. Nous recommandons sans hésiter. D’autant que l’hôtel est très bien placé à deux pas de la place Bellecour.…
5;Lyon;Sofitel Lyon Bellecour;4.0;Il est vraiment très dommage que les chambres n'aient pas été rénovées, très loin des standards de qualité et de nouveautés pratiquées par la concurrence au niveau des actifs : moquette défraichie, meubles éraflés, peinture vieillotte... Sinon, accueil, service, emplacement de qualité. 
6;Lyon;Sofitel Lyon Bellecour;4.0;Bon emplacement à tout point de vue: proximité des lieux d'intérêt de la ville ( commerciaux, touristiques) Accès facile des transports en communs. Disponibilité du personnel. Restauration parfaite pour un court séjour.
7;Lyon;Sofitel Lyon Bellecour;3.0;"Personnel aux petits soins,  mais cela ne compense pas un hôtel et des équipements fatigués, des tapis usés et sales et des aliments au petit déjeuner même pas du niveau d'un 3 Etoiles :  La revendication ""hôtel de luxe"" est trompeuse pour la clientèle. "
8;Lyon;Sofitel Lyon Bellecour;2.0;Literie épouvantable: 2 creux sur chq côté du matelas! la réception ns a parlé d’1 surmatelas mal positionné scandaleux!!! La décoration des chambres et s de bain est désuète et négligée pour un 5 étoiles.
9;Lyon;Sofitel Lyon Bellecour;4.0;des equipes tres aimables et tres professionnelles. Nous avons ete tres bien accueillis et nous avons apprecies les differents services (concierge, bar, petit dejeuner, pesronnel de nettoyage. Felicitations. Comme je l'ai dit en partant, j'ai ete reconcilie avec le Groupe Accor en France, et plus aprticuliement apres des experiences tres Moyennes a Paris et Bordeaux.
