;city;hotel_name;ind_rating;review_txt
0;Montpellier;Pullman Montpellier Centre;5.0;Second séjour et vraiment tout était parfait... Le service haut de gamme de la réception, la gentillesse et le professionnalisme au restaurant ainsi que le petit déjeuner(un régal). Nos enfants ont adorés la piscine sur la terrasse. Merci à vous et à bientôt
1;Montpellier;Pullman Montpellier Centre;5.0;Cela fait plus de 5 ans que je descends dans cet hôtel. Le personnel est toujours aussi professionnel et empathique. Toujours dans le dévouement et la perfection. On reviens dans un hôtel pour le confort et autres mais avant tout en ce qui me concerne pour la relation humaine.
2;Montpellier;Pullman Montpellier Centre;5.0;L'hôtel est magnifque. La situation idéale. La décoration très épurée. Les mêts et le petit-déjeûner buffet excellents. Le personnel pro et compétent. La piscine petite mais agréable. La proximité d'un centre commercial très pratique.
3;Montpellier;Pullman Montpellier Centre;5.0;C'est la 2ème fois que nous sejournons ici. Je passe 1/4 de l année à l'hôtel et j avoue que l accueil de tout le personnel de cet hôtel est exceptionnel.  Même les femmes de chambre sont extrêmement aimables et prennent le temps de nous accueillir. Vous laissez vôtre voiture devant l hotel et la réception la gare au parking et la sort à volonté à Faible prix. Chambres très confortables. Excellent choix au petit-déjeuner. Kn vrai brunch! Le tout au pieds de la place de la comédie.  On n'a peut que conseiller cet hôtel. 
4;Montpellier;Pullman Montpellier Centre;4.0;hôtel bien situé, accueil professionnel et chaleureux (mention +++ à Gael qui a été formidable). Femme de ménage efficace et très serviable. Petit des un peu décevant compte tenu du tarif. Le jour du nouvel an pas de yaourt hormis des soja sun, Propreté des sols et des chaises du restaurant pas à la hauteur de l'hôtel cependant les produits proposés sont de qualités. Nous avons eu un souci d'odeur d'égouts  mais on nous a changé de chambre 
5;Montpellier;Pullman Montpellier Centre;4.0;Comme le dit très clairement mon titre, le départ fut compliqué. Nous avions réservé une chambre supérieure une fois cette dernière réceptionné, nous eûmes la surprise de constater que celle-ci n’était pas bien faite. Après en avoir informé la réception nous avons été surclassé. Chef de réception très professionnel et compréhensif. Réceptionniste de nuit très compétents également. Nous avons profité du brunch à 13h45, très complet et goûteux, service impeccable, très jolie vue. Départ tardif validé sans souci pour 16 heures. Très bel hôtel emplacement idéal pour profiter de Montpellier. 
6;Montpellier;Pullman Montpellier Centre;5.0;Hôtel très bien situé en centre ville et à 5 min de la place de la comédie. Chambre grande et confortable. Double fenêtre filtrant parfaitement les bruits extérieurs. Service de chambre de qualité. Petit déjeuner continental complet, jus de fruits frais au dernier étage Deuxième séjour dans cet hôtel, l'ensemble du personnel est toujours particulièrement accueillant, aimable et très professionnel.
7;Montpellier;Pullman Montpellier Centre;4.0;Pullman Montpellier Centre (14 et 15 décembre 2019) Chambre  n°604 (chambre supérieure)  Excellente situation à deux pas à pieds du centre ville et/ou d'une station de tram (Antigone). L'accueil est très agréable et très professionnel et le service de voiturier efficace et rapide (avec garage). L’hôtel est contiguë au centre commercial Polygone à deux pas de la place de la Comédie.  L’hôtel étant complet je n’ai pas pu bénéficier d’un surclassement  Par contre j’ai pu bénéficier gracieusement du service voiturier et du parking.  Cet hôtel est idéal pour un séjour d'affaires ou pour loisir, il est ma résidence montpelliéraine. Chambre vaste et très propre au 6ème étage. Excellente insonorisation garantissant un calme idéal. Salle de bain moderne et très bien équipée.  Au 8ème…
8;Montpellier;Pullman Montpellier Centre;5.0;Je viens dans cet hôtel très régulièrement depuis des années et toujours avec autant de plaisir. Le bar sur le toit est très agréable. L’ accueil est a la hauteur de l’hôtel.Bien situé. Rien a dire.Bon séjour
9;Montpellier;Pullman Montpellier Centre;1.0;"Accueillis par un stagiaire... Perdu, monotâche... Chambre surchauffée 😱😳😱, impossible de stopper ou baisser le chauffage. Lampe de chevet avec ampoule grillée... Petit déjeuner ""sans gluten"", ""sans bla bla""... Mais rien de frais et fait maison. Jus d Orange industriel... Salade de fruits issues de boites... Pour 180€ la chambre deluxe, on a aussi mal pour moins cher ailleurs... Nous ne reviendrons pas..."
