;city;hotel_name;ind_rating;review_txt
0;Nice;Novotel Nice Centre Vieux Nice;5.0;Cela fait la 3ème fois que nous venons dans cet hôtel pour un salon professionnel. Son emplacement est idéal pour accéder au centre des congrès. Les chambres sont super, l’accueil aussi et nous ne sommes jamais déçus par le repas au restaurant. Juste une remarque : il fait très chaud de partout. (Chambres, hall, restaurant). Une mention spéciale au serveur du restaurant qui était tout seul pour servir une salle pleine, qui courrait de partout mais avec le sourir. 
1;Nice;Novotel Nice Centre Vieux Nice;4.0;Nous avons passés trois jours dan cet hôtel, en famille. L'hôtel est très bien situé. Pas loin de la vieille ville. Avec des restaurants et boutiques a proximité. Un petit déjeuner très bon. Je recommande cet hôtel pour un séjour à Nice.
2;Nice;Novotel Nice Centre Vieux Nice;4.0;L’établissement a toujours un accueil agréable bien qu’il faille attendre en réception . Les chambres sont propres mails les taches sur la moquettes baisse la note. Service au bar un peut brouillon mais l’ensemble reste correct.
3;Nice;Novotel Nice Centre Vieux Nice;4.0;De super belles et confortables chambres qui viennent d'être refaites complètent la salle de restaurant et le bar qui sont eux aussi très agréables. Un très bon et très varié petit-déjeuner, comme d'habitude.  On voit que cet hôtel est tenu de main de maître. Seul bémol un des barmans qui fait la gueule et qui est relativement désagréable, ça dénote avec le reste de l'équipe mais je pense qu'il doit être connu de l'équipe dirigeante.
4;Nice;Novotel Nice Centre Vieux Nice;1.0;La centrale de resa m’avais vendu des chambres communiquantes ... inexistantes à mon arrivé ! Pas pratique avec des enfants en bas âges ... l’accueil a géré mais je n’aurai jamais pris cet hôtel si j’avais su qu’il n’y avait pas de chambre communiquante 
5;Nice;Novotel Nice Centre Vieux Nice;5.0;Nous avons passé trois nuits au NOVOTEL et tout a été parfait ! De l’accueil à l’arrivée dans notre chambre.. le service a été impeccable durant tout notre séjour ..  le petit déjeuner était très complet également.. Toutes nos félicitations à l’ensemble du personnel ..  nous reviendrons 
6;Nice;Novotel Nice Centre Vieux Nice;3.0;  Hotel un peu décevant pour un quatre étoiles. Les chambres sont propres mais pas très grandes. Au moment de se doucher le robinet était  assez vétuste et il n'y avait pas de pression donc pas super au niveau de la salle de bains. La literie était correct et le personnel de la réception très aimable. Dommage qu'il n'y ait qu'un parking public à l'extérieur et pas de tarif préférentiel pour les clients de l'hotel (18 euros pour une nuit à rajouter au prix de la chambre)
7;Nice;Novotel Nice Centre Vieux Nice;4.0;Il faut savoir que je n’aime pas les NOVOTEL mais ... obligée d’y séjourner une semaine pour un congrès ! Chambre exécutive sans aucun intérêt si ce n’est le minibar offert (et il est bien garni et renouvelé - je n’ai pris que de l’eau mais il y a un choix très correct de boissons). Salle de bain fonctionnelle mais pression de la douche très basse, economie d’eau ! Donc se laver les cheveux longs est très long et à mon avis pas du tout économique en eau par rapport à une douche qui a de la pression.  Literie bien Tv ok. C’est impersonnel mais confortable. Assez bruyant surtout avec une foire et des manèges au pied de l’hôtel. Petit déjeuner copieux et varié - machines à café qui ne font pas le cappuccino dommage ! Mais les dames du petit déjeuner sont aux petits soins dės 6:30…
8;Nice;Novotel Nice Centre Vieux Nice;3.0;Personnel d entretien très bruyant tôt le matin. Chambre sur la rue mal insonorisée. Accueil et chambre agréable. Literie confortable. Emplacement pratique par rapport au palais des congrès. Organisation pour transfert vers aéroport pratique. 
9;Nice;Novotel Nice Centre Vieux Nice;3.0;Accueil agréable mais la réservation effectuée n’avait apparemment pas été bien répercutée (petit déjeuner inclus voulant être facturé en sus).  Absence d’eau chaude (robinetterie HS) et évacuation des eaux obstruées ayant nécessité un changement de chambre à 23h.... On doit pouvoir mieux faire pour un Novotel de cette classe  Réclamation fait sur le site accord sans aucune réponse... la réactivité ne semble pas être le fort du groupe accor. Dommage 
10;Nice;Novotel Nice Centre Vieux Nice;5.0;Cet hôtel, bien placé, confortable, avec une belle décoration contemporaine, s’avère de très haut niveau. La chambre 632 que j’ai occupé est grande, avec une literie superbe, un système vidéo de haut niveau et une salle de bains très fonctionnelle. Seul le wifi s’avère poussif. Le buffet de petit-déjeuner propose un large choix de bons produits. 
11;Nice;Novotel Nice Centre Vieux Nice;5.0;L'hôtel est moderne, confortable et bien situé, à proximité de la vieille ville et du tramway. Le personnel s'est montré très agréable et disponible, et le buffet petit-déjeuner est copieux et varié. Mention spéciale pour la vue sur Nice depuis le rooftop. Nous reviendrons !
12;Nice;Novotel Nice Centre Vieux Nice;5.0;Je viens d'écrire mon message et je viens de voir qu'il ne fallait pas écrire en majuscule. Je voulais tout simplement vous dire que tout était très bien. la chambre a été occupée par mon épouse,ma fille et mes deux petites filles de trois et huit ans. Chambre parfaite pour cette composition familiale.
13;Nice;Novotel Nice Centre Vieux Nice;5.0;Hôtel agréable bien situé proche tramway  Améliorer la restauration par choix plus important , serveurs plus souriants... PEtit déjeuner très correct avec choix important  Parking privé compliqué à rejoindre 
14;Nice;Novotel Nice Centre Vieux Nice;3.0;"Bon établissement, bien situé, proche du centre à pied et tram à côté. Parties communes, dont accueil et salle de petit déjeuner récentes et modernes. Pour les chambres familiales, ce n'est pas le cas, un rafraîchissement est à prévoir, je confirme les avis d'autres personnes. Chambres vieillottes, pour un 4*...premier  Novotel où je vais mettre 3/5. Toutes les attentions des Novotel, c'est à oublier à Nice : 2 verres en plastique pour 4, 1 tisane pour 4 et aucun gel douche-savon-shampoo... tiens plus du 3 que du 4 étoiles. Sinon petit-déjeuner et personnel parfaits, ce qui est déjà très bien ! Pour le parking, une grande place gratuite est à disposition juste devant l'hôtel, il faut juste que le personnel le précise ;-)"
15;Nice;Novotel Nice Centre Vieux Nice;4.0;Hôtel très bien situé en centre ville, près du tramway. Chambre confortable, petit déjeuner continental avec beaucoup de choix et des produits frais. Parking cher et peu pratique d'accès. Personnel attentif et agréable.
16;Nice;Novotel Nice Centre Vieux Nice;4.0;"Un personnel au top; chambre extrêmement bruyante: qu'à cela ne tienne, à minuit le personnel de l'accueil nous change de chambre pour une coté jardin. Au petit déjeuner un personnel très serviable. Pour finir, stp baissez la clim de la salle du petit déjeuner: nous étions frigorifiés "
17;Nice;Novotel Nice Centre Vieux Nice;1.0;Ma copine et moi avons pris le dejeuner a l hotel. Ne restait plus que les plats du jours- roastbeef pour moi et saumon legumes pour ma copines.  Mon plat etait ridicule: peu de frites et 3 tranches de roastbeef froid !!! Le saumon etait surgele et bien trop cuit. Aucun gout. Qu'elle ne fit pas ma supririse a l addition. 15 Eur chaque plat !!!! RIDICULE !!!!!!! 
18;Nice;Novotel Nice Centre Vieux Nice;4.0;L'hôtel est bien situé à côté des transports en commun,  la chambre est très agréable le lit confortable et le petit déjeuner très bon. Cependant des trous dans les draps et une piscine viellotte montre qie l'hôtel mérite un petit coup de jeune. 
19;Nice;Novotel Nice Centre Vieux Nice;3.0;Hôtel chaleureux, petite surprise en le voyant de l'extérieur mais rassuré de voir qu'il a été entièrement rénové à l'intérieur.  Personnel très serviable et attentif aux besoins.   Bémol sur le parking : à la réservation il est mentionné la présence de ce dernier mais il n'est pas dit qu'il est payant et non appartenant à l'hôtel ! (20€ pour 24h).  Buffet parfait pour le petit-déjeuner, beaucoup de choix.  Et dernier bémol : très peu de pression au niveau de la pommeau de douche, privilégier la baignoire. 
20;Nice;Novotel Nice Centre Vieux Nice;4.0;Le premier soir comme je suis arrivé tard j'ai eu une chambre pour personne handicapée. Le lendemain à ma demande on m'a changé de chambre et même surclassé. Et là j'ai eu une grosse surprise. La deuxième chambre toute neuve magnifique, moderne bien décorée, parfaite, mais si je compare à celle pour les personnes handicapées alors là c'est le choc. La chambre pour personne handicapée est abimée vieille, elle ressemble aux chambres IBIS des années 80. La télé ne fonctionne pas correctement. Bref pourquoi cette différence entre les chambres pour personnes handicapées et les valides?
21;Nice;Novotel Nice Centre Vieux Nice;3.0;Hotel très bien situé à proximité de la ligne 1 du tramway (environ 300 m). Accès au vieux Nice ou à la promenade des Anglais en moins de 5 min. Très beau hall d'entrée, très belle pièce pour le restaurant et le petit déjeuner, attention aux pigeons sur la terrasse, c'est un fléau dans toutes les grandes villes. Parking privé payant (20€ les 24h), un vrai jeu de piste pour y accéder, ne pas perdre les codes d'accès. La piscine est plutôt belle située sur le toit de l'hôtel, mais froide le jour où nous nous sommes baignés un 15 août...Et un peu trouble... peut-être trop de monde à se baigner dans la journée ce qui pourrait dégrader les caractéristiques de l'eau (cela ne reste qu'une impression). Barman servant de bons cocktails et vu sur le vieux Nice.   Le petit déjeuner est…
22;Nice;Novotel Nice Centre Vieux Nice;5.0;Cet hôtel aux prestations quasi-irréprochables est bien situé près du Palais des Expositions. Les chambres sont confortables mais un peu bruyantes côté rue malgré les doubles-vitrages. Le petit-déjeuner est copieux et propose des plats variés.
23;Nice;Novotel Nice Centre Vieux Nice;4.0;Hôtel en cours de rénovation (et heureusement car notre chambre était plus que vieillotte !), piscine et bar très sympas sur le toit, équipe très agréable et arrangeante qu'il s'agisse du bar, de la réception ou des agents d'entretien (en particulier... Océane ou Mélodie ? Je ne me souviens plus de son prénom !). L'hôtel est certes dans le centre mais à une bonne vingtaine de minutes de la mer...
24;Nice;Novotel Nice Centre Vieux Nice;3.0;Le lit principal est bancal au niveau du matelas. La douche est défaillante car pas de pression et difficilement réglable trop trop chaude. L’accès au parking privé et bien trop complexe, on dirait une épreuve de Koh Lanta
25;Nice;Novotel Nice Centre Vieux Nice;4.0;Novotel dans la moyenne des hôtels de la gamme. Son principal argument est son côté pratique : à 2 pas du Vieux Nice, du tramway conduisant au fronton de mer et des commodités. Parking auto payant juste de l'autre côté de la rue.  Zone de desserte au pied de l'établissement. Restaurant proposant des spécialités régionales. Il est équipé d'une piscine et d'une terrasse permettant de voir Nice d'en haut. db
26;Nice;Novotel Nice Centre Vieux Nice;1.0;Nous venons de passer une semaine dans cet établissement première déception les chambres sont trop petites et pas assez propres, premier un incident ma fille a perdu son sac à dos à la réception contenant deux smartphones et des lunettes de marque on a fait une réclamation, on a alerté tout le monde et personne n'a vu personne n'a entendu...la veille de notre retour et en préparant nos valises on s'aperçoit de la disparitions de deux baskets neufs d'une valeur de 200 € on s'adresse à la réception et le Mr ne prend même de lever les yeux de son ordinateur et nous répondre convenablement on monte le temps et là comme par magie on Nous informe qu'ils on trouvé le sac à dos et que c'est la gouvernante qui l'a trouvé et n'a rien dit parce qu'elle ne savait pas à qui ça appartenait…
27;Nice;Novotel Nice Centre Vieux Nice;4.0;Hôtel moderne dans le centre ville accessible en tram Petit déjeuner cher pour 18euros Pour 14 euros j ai pris un petit-déjeuner complet sur la plage du Rhul face à la mer  La chambre est confortable et il y a
28;Nice;Novotel Nice Centre Vieux Nice;3.0;Attention cet hôtel n'est pas dans le vieux Nice, 15 minutes de marche pour vraiment y être. Chambre moyenne, salle de bain vieillotte, insonorisées inexistante . Ce novotel n'a pas le niveau d'un 4 étoiles, beaucoup trop cher pour ce que c'est. Je ne le conseille pas 
29;Nice;Novotel Nice Centre Vieux Nice;5.0;Viens de découvrir le nouveau brunch de l hôtel Nice centre à l occasion d un week end  Le personnel est très agréable et professionnel , les chambres sont propres et spacieuses , modernes .  Et en ce dimanche , super contente de découvrir le brunch , du choix , du salé au sucré , je suis , on est ravie !  Merci novotel nice
30;Nice;Novotel Nice Centre Vieux Nice;3.0;Habitués à mieux pour un Novotel... Rien d’un 4 étoiles, service minimum, peut être dans le cadre d’un congrès, alors dans ce cas plutôt choisir un 2 ou 3 étoiles, Bien que détenteurs d’une carte gold, aucune attention particulière! L’hôtel est très bruyant, bruits incessants de voitures, sirènes. Placés dans une chambre fumeur, nous avons dû demander de changer, aucun produit de courtoisie, aucune pression à la douche, télé commande défectueuses, chambres non rénovées. Bref, une très grande déception. La carte de restauration très limitée, sans parler du service en chambre..... Heureusement le chef arrangeant et un personnel très gentil. Literie confortable. Petite piscine non chauffée, pas de matelas sur les transats, pas de bar. Vraiment dommage pour un séjour de 4 nuits....
31;Nice;Novotel Nice Centre Vieux Nice;2.0;La chambre est au niveau du standard moyen de cette catégorie même si un peu usée. Bien équipée avec salle de bains propre Par contre dangereuse car la douche baignoire glisse À éviter pour personnes âgées et enfants   La nourriture est au dessus de la moyenne de ce standard et la piscine en roof top a de l’intérêt même si trop exposée au vent   La situation n’a aucun intérêt sur cette place et un peu loin de tout  Enfin le personnel est gentillet mais incapable d’écouter le client pour le satisfaire   En conclusion mieux ailleurs à Nice dans la catégorie surtout que le prix n’est pas moyen 
32;Nice;Novotel Nice Centre Vieux Nice;3.0;L'épouvantable accès au parking gâche tout. La qualité de la chambre comme la gentillesse du personnel . Saleté, fléchage aléatoire, deux portes à franchir avec des codes capricieux. Ce parking est digne de l’Albanie d’Enver Hodja dans les années 70. À comparer au Novotel Arenas. Je pense aux touristes étrangers qui ne retiendrons que ce cauchemar ...
