;city;hotel_name;ind_rating;review_txt
0;Paris;Le Royal Monceau-Raffles Paris;2.0;Que dire ! Le personnel de l’accueil  n’est vraiment pas professionnel voir même hautain !bon passons nous arrivons dans la chambre qui est plutôt spacieuse ( suite 508) mais la grande déception Le tapis est couvert de taches les carreaux de la salle de bain rempli de calcaire  le  macaron sur la table ainsi que les brioches son dur ! La chambre n’est pas très bien chauffée !   Mon amie demande à la réception un autre flacon de bain moussant car nous étions deux  et la réception refuse !  Quel manque de professionnalisme ! Je vous passent d’autres détail de la soirée ! En revanche le lit est très confortable , Cependant moi qui ai l’habitude de séjourner dans des palaces je suis extrêmement déçu du Royal Monceau !je n’y remettrais plus un pied ! Pour le même prix autant séjourner au peninsula ou  au shangri  ! Mauvaise expérience  …
1;Paris;Le Royal Monceau-Raffles Paris;3.0;Accueil à l'entrée très moyen, un chocolat chaud arrivé tiede... Mais merci au jeune homme qui nous a trouvé une place à la terrasse... et merci Chloé pour votre gentillesse, votre professionnalisme et votre délicieuse boisson à la pomme, chaude !
2;Paris;Le Royal Monceau-Raffles Paris;5.0;J'ai récemment été au brunch du Royal Monceau avec mon fiancé et un couple d'amis. Nous avons été bien reçus, installés dans un coin calme. Je retiens de cette expérience un magnifique buffet très varié et plein de bons produits. Vaut le détour rien que pour ses pâtisseries!
3;Paris;Le Royal Monceau-Raffles Paris;3.0;Nous avions réservé pour un petit déjeuner dans un palace et le Royal Monceau au contraire d'autres palaces s'est révélé décevant. Le buffet était de qualité mais personne pour s'occuper de la gestion de la vaisselle et donc plus d'assiettes pendant un bon moment, le cadre du restaurant est sans plus par rapport à d'autres palaces, nos sommes allés au moment du départ,, comme d'autres clients, récupérer nos manteaux au vestiaire car là aussi personne!!!! Bref une déception...
4;Paris;Le Royal Monceau-Raffles Paris;5.0;Visite du Royal Monceau ce matin, l’organisation de la visite s’est parfaitement déroulée, le design de l’établissement est magnifique, la qualité des services est top, et le personnel à l’écoute. Je recommande fortement ce superbe Palace parisien
5;Paris;Le Royal Monceau-Raffles Paris;5.0;L’hôtel est une réelle merveille de A à Z!  Notre chambre était d’un luxe non ostentatoire, raffinée et sobre, où l’on s’est sentis comme chez soi. Les équipes de réception ont été adorables tout au long de notre séjour et le petit déjeuner à été un vrai délice! Mention spéciale au service housekeeping qui réalise un travail d’une grande qualité, tout est dans le détail et on ne voit aucune faille. Bravo et merci!
6;Paris;Le Royal Monceau-Raffles Paris;1.0;Quelle deception, ou est passé l’élégance à la française, la courtoisie. Ici, rien de tout ça. Un air étrange de vouloir davantage votre argent que votre bonheur. Nous n’y reviendrons certainement pas
7;Paris;Le Royal Monceau-Raffles Paris;5.0;C'est un palace unique en son genre avec un intérieur moderne mais très parisien, chaleureux et chic. Le personnel est exceptionnel, on se sent en famille! Enfin, la vie du bar et des restaurants génèrent une atmosphère vivante et tout aussi chaleureuse de cette incontournable lieu de la vie parisienne.
8;Paris;Le Royal Monceau-Raffles Paris;2.0;Habitués de moments Tea Time au sein des grands hôtels parisiens, nous avons été extrêmement déçus de celui du Royal Monceau. Nous avons été installés à proximité du bar, très bruyant et absolument pas cosy, avec une musique capricieuse. Le service n'est pas digne d'un tel établissement, peu d'attention, on passe dix fois devant vous sans un regard pour prendre la commande. Une fois faite, les thés sont servis rapidement sans les pâtisseries, il aurait été plus judicieux de les différer pour profiter vraiment de ce que l'on peut attendre d'un tea time. Concernant le buffet, décevant aussi : cakes, madeleines, gâteau chocolat, très bourratifs et communs. Les deux tiers sont à base de chocolat, c'est dommage de ne pas offrir plus de variétés, de fraîcheur et de légèreté. Les…
9;Paris;Le Royal Monceau-Raffles Paris;5.0;Un brunch de qualité , variétés, fraîcheurs des produits, c est que l’on espère d’un tel établissement et tout est au rendez-vous.. un clin d’œil particulier à notre serveur Malik pour son professionnalisme et sa bienveillance.. à conseiller 
10;Paris;Le Royal Monceau-Raffles Paris;5.0;✅ POSITIF ✅  ➡️ Notre serveur était aux petits soins et d’une gentillesse sans précédent  ➡️ La variété du brunch ( pâtes fraîches, sushis, fruits de mer, viennoiseries, pâtisseries Hermé etc )  ➡️ Cadre sublime  ➡️La qualité des mets 
11;Paris;Le Royal Monceau-Raffles Paris;5.0;Moment d'exception ce dimanche midi au brunch du Royal Monceau !  Mets et lieu d'exception !  La qualité des produits et du service ont fait de ce moment une véritable fête. Foie  gras, huîtres, homards ....  
12;Paris;Le Royal Monceau-Raffles Paris;5.0;Le royal monceau... Un hôtel que je fréquente depuis des années et qui n'a jamais été autant axé sur l'art. Un design by P. Starck tout en miroirs et volumes, une galerie d'art, la meilleure librairie d'art de Paris et des œuvres époustouflantes un peu partout... Comme ce cheval en métal qui vient d'arriver et qui est une des œuvres les plus belles que j'ai pu voir dans votre hôtel. Un grand chapeau à votre équipe artistique pour leurs choix si pertinents et pour réussir à toujours se démarquer. Cette particularité fait du Royal Monceau mon palace parisien favori !
13;Paris;Le Royal Monceau-Raffles Paris;4.0;Très bel hôtel  Accueil excellent  Junior suite superbe MAIS - service déplorable une heure au bar pour ne rien recevoir après la commande, demande de livrer en chambre pour recevoir quelque chose de non commandé  - buffet du petit déjeuner dimanche sans personnel pendant un long instant , heureusement une souris ( ou un rat) sous la desserte met de l’animation  - spa la manucure a cassé un ongle de ma belle fille  MAIS À PART ÇA ..... Est-ce un hôtel 5 étoiles ?
14;Paris;Le Royal Monceau-Raffles Paris;5.0;"Deuxième séjour dans cet hotel. Je n'ai vu pareil service dans aucun autre hotel. Le personnel est au petit soin, la suite signature est spacieuse et agréable. Le royal monceau est le seul hotel dans lequel je me sens ""comme à la maison"" la décoration de la chambre ne fait pas ""hotel"" mais bien maison individuelle, c'est très agréable. C'est un hotel dirigé business, il y a donc très peu ou pas de famille et d'enfant ce qui pour moi est très agréable.  Le petit déjeuner est très bon et donne accès au patisserie de Pierre Hermé. A chaque fois que je vais sur Paris, je réserve une chambre dans cet hotel."
