;city;hotel_name;ind_rating;review_txt
0;Strasbourg;Sofitel Strasbourg Grande Ile;4.0;Bon accueil, lit confortable, voiturier serviable Mais Lunette des toilettes mal installée (j'ai du la réinstaller moi-même), chauffage bruyant (en mode chauffage ou clim, c'est une soufflerie qui ne sait pas se taire même à régime minimum)
1;Strasbourg;Sofitel Strasbourg Grande Ile;5.0;Nous ânons déjà passé un week-end dans cette établissement, très bon accueil ,  chambre propre, petit déjeuner avec un énorme choix et très appétissant.  Vous avez la possibilité de faire garer la voiture en sous-sol de l'hôtel pour 35€. A refaire encore....
2;Strasbourg;Sofitel Strasbourg Grande Ile;3.0;Un hôtel idéalement situé en plein centre ville mais qui ne justifie pas ses 5 étoiles. Une chambre et salle de bain petites, même en catégorie supérieure, une moquette qui date... Un rrelooking serait le bienvenu...
3;Strasbourg;Sofitel Strasbourg Grande Ile;5.0;Idéalement situé cette hôtel fait honneur à l’hôtellerie française de luxe ... abordable. La qualité est à tous les niveaux et très bien décrite dans tous les avis. J’insiste sur la gentillesse du personnel et son attention constante qui vous fait sentir unique l’espace du séjour.
4;Strasbourg;Sofitel Strasbourg Grande Ile;5.0;Merci à tous pour ce séjour d'une grande qualité. Du voiturier, à la réception, du service aux étages, la conciergerie, sans oublier le petit déjeuner, tout était enchantement. Nous reviendrons c'est certain.
5;Strasbourg;Sofitel Strasbourg Grande Ile;4.0;Très bon séjour organisation et services tout fut excellent rien d'autre à rajouter merci pas besoin d'en rajouter jusqu'à 200 caractères 200 caractères c'est bien trop pour donner un avis sauf à avoir eu des problèmes...
6;Strasbourg;Sofitel Strasbourg Grande Ile;1.0;Le rapport qualité prix est juste honteux !! 450€ pour un hôtel très moyen au final ça pique !!! La chambre est minuscule, on arrive à peine à se croiser... dans la salle de bain c’est pire, c’est minuscule et les toilettes sont au même endroit ! La vue degueulasse sur le toit goudronné et la mercure en face a fini de m’énerver !  Après on se voit refuser de prendre un verre au bar car le service s’arrête à 23h (il n est que 22h25)! Même si la serveuse au top nous propose gentiment de boire le verre quand même mais dans le hall ça pique !! La salle du petit déjeuner ressemble à celles des ibis et la nourriture n’est pas terrible. Ensuite on récupère notre voiture après 20 min d’attente (au prix du parking ça pour aussi). Mes + sont le concierge qui nous trouve un restaurant top…
7;Strasbourg;Sofitel Strasbourg Grande Ile;4.0;"Accueil et accompagnement au top  personnel en permanence aux petits soins chambre supérieure  un peu petite pour 2 ; nous avions pris la prestation du petit déjeuner en chambre mais nous l'avons abandonnée par manque de place séjour très agréable quand même "
8;Strasbourg;Sofitel Strasbourg Grande Ile;3.0;Après avoir reçu une première chambre  où il sentait la cigarette, nous avons pu avoir une nouvelle chambre après avoir attendu 1h30 dans le hall. Le restaurant était fermé et nous avons mangé sur une table basse dans le bar. nous n'avions pas envie de sortir après notre réveillon la veille. par contre, super  super petit déjeuner.
9;Strasbourg;Sofitel Strasbourg Grande Ile;2.0;Hôtel Sofitel très vieillot ,décevant personnel débordé ,responsable absent ,erreur de facturation ,pas de surclassement, 25 minutes pour avoir un café, décoration de Noël datée , trois jours sans Kleenex dans la chambre etc. etc.... 
10;Strasbourg;Sofitel Strasbourg Grande Ile;4.0;La saison de Noël aidant, le personnel semblait parfois un peu débordé et moins attentionné que ce que nous avons connu par le passé. La chambre d'un standard moins élevé que ce à quoi nous avons été habitué (vue sur la place et les beaux platanes, taille de la chambre, salle de bain) qui nous a été attribuée nous a un peu déçue. Mais sinon, notre séjour s'est très bien passé. Nous reviendrons dans tous les cas.
11;Strasbourg;Sofitel Strasbourg Grande Ile;2.0;Apres Noel, on voulait se faire plaisir entre amis et on a pensé au brunch du sofitel. Bien placé dans Strasbourg, ce bel hotel propose son brunch depuis plusieurs années, actuellement a 37€/pers.  Il y a une premiere salle jolie bien décoré pour bruncher, et une salle de conference a l’arriere qui sert d’appoint pour le brunch.. hall de gare, sans chaleur, nous avons été placé la alors que nous avions réservé depuis plusieurs jours ( sans qu’on nous le precise)  Les mets proposés au buffet sont de bonne qualité mais rien d’original.  Seul point fort, on vous sert la charcuterie et les oeufs a la minute. Cependant, a notre arrivée, les serveurs ne nous ont rien expliqué du tout.  Bref, une déception pour le Sofitel... 
12;Strasbourg;Sofitel Strasbourg Grande Ile;1.0;Je n’ai pas du tout aimée . L’hôtel . L’emplacement était top mais tout le reste non j’ai pas aimée . Faut revoir beaucoup de choses ! Bon je m’arrête ici . Je n’ai rien d’autre à dire mais faut aller jusqu’à 200 caractères . 
13;Strasbourg;Sofitel Strasbourg Grande Ile;4.0;Hôtel bénéficiant d’un emplacement exceptionnel  pour visiter Strasbourg à pieds.  Accueil , voiturier , réception au top.  Par contre , Service en chambre « mesquin « , pas de réapprovisionnement de gel douche pour 2eme jour ni de bouteille d’eau.... Room service à revoir, 45 mn d’attente le 1er jour pour le petit déjeuner et oubli du beurre, et pas de table pour le dîner et réflexion agacée «  je n’ai pas assez de table pour tout le monde «.  Dommage pour un 5*.  
14;Strasbourg;Sofitel Strasbourg Grande Ile;2.0;Nous sommes allés Strasbourg pour le marché de Noël il y’a 1 semaine environ.  Mon ami avait réservé le Sofitel dans la but de me faire une surprise et de passer la nuit dans un bel hôtel...  La 1ère réception est a l’arrivée, on nous demande d’aller parquer (nous même) notre voiture au parking situé plus loin (souterrain payant). L’accueil est synaptique mais sans plus.   On nous propose ensuite de nous montrer notre chambre (5ème). Et on ne prend pas la peine de monter nos bagages... nous prenons notre sac sous le bras.   Grande déception à l’arrivée dans la chambre. Absolument pas digne d’un 5*!! Minuscule, mobilier vieillot, salle de bain bruyante et literie trop dure pour nous.   Trop de « petites » choses à redire qui ne sont pas acceptables pour un (soit disant 5*) ne…
15;Strasbourg;Sofitel Strasbourg Grande Ile;3.0;Séjour à l’occasion du marché de noël les 20,21,22 décembre en famille dans une suite junior au 3 eme étage .   Le hall est très daté il mériterai une mise au goût du jour . Les moquettes des couloirs sont hors d’âge . La chambre est de très petite taille et pas au standing attendu dans un cinq étoiles la  salle de bain ordinaire même si les produits de toilettes sont hermès l’impression global ne fait pas confortable ni chic . Mauvaise insonorisation également . Le personnel est lui plutôt aimable bien qu’en sous effectif semble t il .  Et ne prenez pas conseil auprès du concierge . Il nous envoi le dimanche soir un restaurant effroyable. Quel dommage !!  Bref le sofitel est bien situé c’est son atout mais pour le reste.....
16;Strasbourg;Sofitel Strasbourg Grande Ile;1.0;A priori, ils ont très peur d’en faire trop, et nous avons assisté à un service au minimum agaçant indigne d’un hôtel qui se veut 5 étoiles  Obligé de demander 4 fois le lit supplémentaires , à notre arrivée vers 17.00 , et à notre retour de dîner. Ascenseurs au bout de leur vie. Champoing et gel douche comme pour une personne et nous sommes trois. Tout cela a 450€ la nuit Lamentable 
17;Strasbourg;Sofitel Strasbourg Grande Ile;5.0;je suis ravis de Sofitel Strasbourg du point de vue de son emplacement et son élégance   un accueil chaleureux un bar extraordinaire du personnel très gentil un cadre exceptionnel un buffet petit déjeuner formidabel
18;Strasbourg;Sofitel Strasbourg Grande Ile;3.0;Séjour d’une nuit au Sofitel. Très bon emplacement. Pas digne d’un 5 étoiles. Chambre vieillissante, miroir maquillage de la salle de bain ne fonctionnait pas. Le wifi ainsi que la télé ne fonctionnait pas non plus. parking était plein nous avons dû nous garer ailleurs. Très très cher pour le niveau de prestation.
19;Strasbourg;Sofitel Strasbourg Grande Ile;5.0;Très bon accueil et cadre très agréable. La chambre est spacieuse et très confortable. Très bon séjour à Strasbourg. Rq : Prévenir le client membre de All que les boissons offertes au bar de l'hôtel ne concernent pas toute la carte. Merci
20;Strasbourg;Sofitel Strasbourg Grande Ile;5.0;Très bon séjour  Chambre très confortable Odeur d'ambiance très agréable dès l'entrée  Personnel très attentionné  Seul bémol au petit-déjeuner : on ne peut pas se servir soi-même le café à la machine... 
21;Strasbourg;Sofitel Strasbourg Grande Ile;3.0;"Avons séjourné 3 nuits la semaine dernière pour profiter de cette période des marchés de noël. Alors du bon et du moins bon. Le bon : - Emplacement hyper central (parfait pour tout visiter) - Personnel hyper prévenant et agréable (voiturier, concierge, check-in/out, service petits dej), ...vraiment pro. - Petits-Dej très complets (bémol cependant pour les oeufs brouillés...pas terribles car trop liquides et gras). - Bar de l'hotel sympa, bon accueil, bonne ambiance, bons tapas. - Hall de l'hotel agréable et joliment décoré. Un peu bondé en ces périodes de ""marché de Noël"" mais ça c'était prévisible. Sans quoi, c'est très joli. - Bonne literie.  Les Moins : - Chambres (nous avions une suite #227), franchement pas terrible terrible...Mobilier fatigué, déco de la chambre assez…"
22;Strasbourg;Sofitel Strasbourg Grande Ile;4.0;Les chambres sont un peu datées en rapport aux derniers hôtels Sofitel récemment visités.  Le personnel est très agréable et le petit déjeuner bien copieux et savoureux.  Je n’ai pas pu bénéficier du surclassement de ma carte de fidélité car l’hôtel était complet , peut être mon avis avec une autre chambre aurait pu être différent .  
23;Strasbourg;Sofitel Strasbourg Grande Ile;3.0;Points positifs :  - Personnel particulièrement agréable, attentionné et souriant - Literie parfaite niveau confort - Lobby agréable, check-in rapide, service bagagerie parfait - TV de grande taille  Points négatifs :  - Moquette chambre tachée (sang ? chocolat ?...) - Ongles sous table chevet - Bruits de livraison très tôt le matin, à plusieurs reprises, sur les 2 nuits - Demande de chambre non surchauffée non respectée, malgré coupure chauffage, température élevée - Vue extérieure médiocre - 1 bouteille 50cl d'eau pour 2 nuits (sinon 8€ les 50 cl au mini bar) mesquin compte tenu du prix séjour - Pas de séparation espace salon - canapé/lit, un simple rideau aurait fait l'affaire - 2ème nuit, 2 serviettes pour 3 personnes... - Retour en chambre en journée, lumière coupée ! wc…
24;Strasbourg;Sofitel Strasbourg Grande Ile;4.0;Nous avons passé un très bon moment dans notre chambre avec balcon. Service en chambre très efficace et discret. Hotel très propre. Le bar adjacent et sa terrasse chauffée nous a permis de passer un excellent diner avec des mets de bonne qualité. Le restaurant ne nous a pas fait beaucoup voyagé en revanche, quelques défauts de cuisson. Sinon dans l’ensemble très satisfait.
25;Strasbourg;Sofitel Strasbourg Grande Ile;5.0;Nous avons séjourné ce week end à l'occasion du marché de Noël de Strasbourg.  La situation en plein centre est un plus.  Accueil parfait et prise en charge rapide.  Service voiturier impéccable.  Chambre et literie agréable.    Je recommande cet établissement.
26;Strasbourg;Sofitel Strasbourg Grande Ile;5.0;Nous avons été merveilleusement -et chaleureusement- accueillis par des équipes de professionnels que nous tenons à remercier pour la qualité de leurs prestations. Bien sûr la salle de bains mériterait d’être rénovée, cependant… Le restaurant « Terroir & co » s’est encore bonifié ! A fréquenter absolument, sans modération.  Ce n’est que du bonheur ! 
