;city;hotel_name;ind_rating;review_txt
0;Toulouse;Pullman Toulouse Centre Ramblas;5.0;L'hôtel est très bien placé, entre la gare et la place du capitole. La chambre est très spacieuse, confortable et extrêmement silencieuse. Le personnel est très agréable et serviable. Très bon petit déjeuner. Séjourner dans cet hôtel a été un réel plaisir ! 
1;Toulouse;Pullman Toulouse Centre Ramblas;5.0;Je séjourne dans cet hôtel lors de tous mes déplacements pro sur Toulouse.  Hôtel très bien situé dans le centre ville et un parking juste à côté.  Établissement calme et très bien entretenue.  Personnel avenant et très souriant.  Le restaurant est aussi au rendez-vous, tant pour le service que pour la qualité des plats.  Parfait et merci! 
2;Toulouse;Pullman Toulouse Centre Ramblas;1.0;Je déconseille fortement État général de la chambre niveau propreté laisse à désirer et les taches sur les draps j ose à peine en parler, poils dans la salle de bain etc...  L accueil et le service room sont déplorable le niveau d amabilité est à revoir fortement... Passez votre chemin...
3;Toulouse;Pullman Toulouse Centre Ramblas;5.0;Tres bel hôtel idéalement situé a mi Chemin entre la gare matabiau et la jolie place du capitole. L’accueil est vraiment très agréable les chambres sont très confortable avec un très grand lit. Manque juste un bon spa pour que ca soit parfait 
4;Toulouse;Pullman Toulouse Centre Ramblas;3.0;Bien mis à part TV HS malgré 2 demandes à la réception..finalement pris en compte en fin de matinée.. C'est dommage car le personnel est toujours trés bienveillant en particulier le concierge- voiturier. 
5;Toulouse;Pullman Toulouse Centre Ramblas;5.0;"Je descend fréquemment au Pullman Centre Ramblas et chaque séjour est toujours très agréable , l'équipe du Pullman est toujours professionnel et dégage une empathie sincère. Chambre ou l'on se sent bien pour le travail et le repos; Un Room Service au TOP : qualité et prix raisonnable. Service parfait de Delphine.  De façon générale , l'équipe du Pullman est fantastique avec les clients : toujours souriants , personnalisation du service et sincérité dans le relationnel clientèle. Mention particulière au Front Office Manager Estelle qui a géré à la perfection ma réservation et mon séjour. Merci aussi pour leur service exceptionnel à Camille , Audrey et Metyim.  Je recommande donc fortement cet hôtel à tous les voyageurs qui cherchent un 5 étoiles à Toulouse : il est unique et…"
6;Toulouse;Pullman Toulouse Centre Ramblas;5.0;Nous avons découvert cet hôtel qui mérite vraiment le détour. Le Pullman Toulouse Ramblas est très bien situé et facile d’accès. L’accueil est très chaleureux et la chambre d’un grand confort. Le design est épuré et le petit déjeuner fantastique.  Bravo et nous reviendrons !  
7;Toulouse;Pullman Toulouse Centre Ramblas;5.0;Une suite spacieuse, un personnel remarquablement souriant et à l'écoute des attentes des clients, font que le séjour a été très sympathique malgré le temps très pluvieux ce dimanche là. Une étape à ne pas manquer
8;Toulouse;Pullman Toulouse Centre Ramblas;5.0;Comme d’habitude tout fût excellent et les équipes toujours aussi performantes et très professionnelles en faisant preuve d’une grande disponibilité. Merci à tous pour cette Année 2019 passée dans votre établissement. Joyeuses fêtes et rendez-vous en 2020.
9;Toulouse;Pullman Toulouse Centre Ramblas;5.0;Nous sommes ravis de la nuit passée dans cet hotel. L'accueil est très agréable, le personnel est aux petits soins pour les clients. Le hall est superbe, la chambre était spacieuse et très confortable. La vue sur les ramblas est magnifique.  Le lit était également très confortable. Le petit-déjeuner est extrêmement complet, il y en a pour tous les goûts, avec même des préparations sans gluten. Pour notre prochain séjour, nous n'irons pas dans un autre hôtel!
10;Toulouse;Pullman Toulouse Centre Ramblas;5.0;Pullman Toulouse Centre Ramblas (13 décembre 2019) Chambre de luxe surclassée en suite n°526  Je connais bien Toulouse pour y avoir habité quelques temps dans la rue jouxtant cet établissement mais là ce fut un passage éclair d'une nuit pour une soirée entre ami. Cet hôtel est devenu ma résidence toulousaine.  L'accès est aisé et la prise en charge optimale grâce au voiturier avec parking payant à 26€ la nuit  Pour ce qui est de l'accueil, Il est professionnel, efficace, souriant sans pour autant être guindé. En arrivant, on se sent attendu (feel welcome).  Nous avons pu bénéficier d'un surclassement en suite au 5ème étage (526) pour lequel nous vous remercions chaleureusement. C’est une attention très agréable. La suite est spacieuse, meublée et décorée avec beaucoup de goût,…
11;Toulouse;Pullman Toulouse Centre Ramblas;5.0;J'ai séjourné avec 3 amis et se fût une très belle surprise. Accueil sympathique et pro actif, chambre spacieuse avec un excellent confort...SUPERBE DOUCHE! très calme, le personnel est serviable et agréable. L'hôtel est situé à deux pas du coeur de la ville et dans un quartier safe & tranquille . Nous reviendrons avec grand plaisir, merci à toute l'équipe et tout particulièrement à Emmanuel qui s'est occupé de notre réservation à la perfection .
12;Toulouse;Pullman Toulouse Centre Ramblas;5.0;Accueil chaleureux +++ Comfort et calme, j’ai passé trois nuit en tranquillité  Literie très confortable  Le hall de réception est bien artistique (je vous laisse une photo) Le cartier est beau et à quelques minutes à pied des restaurants- bars....  À refaire 
13;Toulouse;Pullman Toulouse Centre Ramblas;5.0;Première fois dans cet hôtel à Toulouse. Superbe hôtel. Joli design et espaces communs bien foutus. Ma chambre était parfaite comme demandé à l'accueil - un endroit au calme au fond d'un couloir. Ce qui fait que j'ai SUPER bien dormi. Lit très confortable, avec sur-matelas et oreillers spécifiques (ceux que l'on retrouve dans tous les Pullman). La salle de sport est petite mais contient le nécessaire suffisant. Et gros plus pour moi : le restaurant de l'hôtel était très bon. J'y ai mangé les 2 soirs ce qui me permet de gagner du temps sur mon travail. Mention spéciale pour le personnel du restaurant qui est vraiment au petit soin et je n'ai pas eu a attendre longtemps mon repas. Petit déjeuner sans plus.  Bref, très satisfait d'autant plus que tous les Pullman ne sont pas…
14;Toulouse;Pullman Toulouse Centre Ramblas;5.0;Proche de la gare et du centre (place du Capitole, Les Halles) ce bel établissement est à recommander : personnel agréable, chambre parfaite - confortable, chaleureuse, bien équipée,  lit très large et confortable, très bon petit-déjeuner (je recommande les œufs brouillés onctueux). Un très bon restaurant y est associé. Je recommande.
15;Toulouse;Pullman Toulouse Centre Ramblas;4.0;une équipe au top et une literie très confortable. Mais des défauts qui mettent en doute les 5*: taches sur la moquette, traces sur la tapisserie, et bruits dérangeants le matin venant de l'intérieur (ménage? voisin? . . .)
16;Toulouse;Pullman Toulouse Centre Ramblas;4.0;Très belle expérience ! Après un accueil chaleureux, service de bagage dans la chambre et surclassement Genereux ! Excellent petit déjeuner. Avenue bruyante  la nuit par des jeunes, dommage. Belle décoration moderne. Salle de bain magnifique   
17;Toulouse;Pullman Toulouse Centre Ramblas;3.0;Séjour de 2 jours avec une junior suite à plus de 700€ la nuit. J'avais réservé 2 couverts le soir de mon arrivée pour ne pas ressortir de l'hôtel. A 16 heures appel de l'hôtel pour m'avertir que je ne pourrais pas diner au restaurant puisqu' un groupe de plus de soixante couverts occupait la totalité du restaurant. Dans le groupe Accor, il y a toujours un problème qui montre qu'ils se moquent de leur client. j'ai d'ailleurs demandé dés mon retour la suppression de ma carte privilège Accor car je ne veux plus remettre les pieds dans les hôtels de ce groupe ou je suis clients depuis 40 ans Sofitel notamment (carte gold depuis quelques années). Nous avons diner au restaurant LE BON VIVRE où nous avons très bien diner.
18;Toulouse;Pullman Toulouse Centre Ramblas;5.0;Superbe hôtel à l’accueil irréprochable chambre spacieuse idéal en famille avec possibilité de suite en duo avec voiturier parking petit déjeuner gastronomique il est à cinq minutes à pied de la place Wilson et de la place du Capitole 
19;Toulouse;Pullman Toulouse Centre Ramblas;5.0;Comme à chaque déplacement à Toulouse, je séjourne au pullman centre. Situation exceptionnelle juste à côte de la gare et tout proche du centre ville à pieds. Hotel très désign, chambre spacieuse et propre, accueil parfait, rien à redire.
20;Toulouse;Pullman Toulouse Centre Ramblas;4.0;Hôtel bien situé.  Très bien reçu,  voiturier avec un très bon relationnel,souriant, conversation fluide.  Room service servi dans les temps, les plats sont bons et à bonne température.  Mention spéciale au lieu et écrevisses. Seul petit bémol, le matelas du canapé-lit de la 326 ,pas très confort. Deco hall très chouette : Keith Haring entre autres,sympa.
21;Toulouse;Pullman Toulouse Centre Ramblas;5.0;Nous étions à l'hôtel pour une nuit et tout était parfait, à notre arrivée le personnel de réception étaient très souriant, de même que ceux du bar et du restaurant que nous avons eu le plaisir de croiser dans le hall. Une chambre propre et magnifique, une literie très confortable et un petit déjeuner exquis.  Ravis de cette nuit je recommande vivement cet hôtel. 
22;Toulouse;Pullman Toulouse Centre Ramblas;4.0;"Titulaires des cartes Platinum et Business Plus, nous avons été habitué à un traitement ""spécial""  dans les hôtels du Groupe, y compris Pullman et y compris Toulouse bien évidemment ... mais pas cette fois Ni surclassement, ni mot de bienvenue, ni petite attention particulière et une réservation enregistrée pour 1 au lieu de 2 personnes. L'hôtel m'a recommandé de passer directement par lui au lieu du site...MAIS j'étais passé par le site PUIS par l'hôtel pour prolonger mon séjour d'une nuit. Il n'est pas bien sympathique de nous faire porter la responsabilité d'une erreur du Pullman lui-même"
23;Toulouse;Pullman Toulouse Centre Ramblas;2.0;Nous avons passé 3 nuits dans cette hôtel,hôtesse très agréable à notre arrivée mais nous avions demandés que notre chambre soit dispo pour 12h00 (statut silver chez accord) ,nous avons attendu 1h30 notre chambre.Pour patienter nous allons au bar et nous attendons 1 h avant d avoir une boisson après 2 réclamation a l accueil,la boisson nous a été offert pour l attente cela reste quand même inacceptable.Chambre spacieuse mais pas de ventilation dans la chambre nous avons signalé à le gemme de ménage mais rien n a été fait car vous pouvez mettre 16 ou 22 pour la température rien ne change. Pour soi disant un 5 étoiles il n est pas à la hauteur même pour le petit déjeuner,il ne ne mérite pas plus que 3 étoiles.
24;Toulouse;Pullman Toulouse Centre Ramblas;5.0;l'acceuil est vraiment au top avec un personnel très aimable et attentif à nos demandes. emplacement proche centre ville de Toulouse , très bonne qualité de la literie et des infrastuctures impécables ! hotel très design
25;Toulouse;Pullman Toulouse Centre Ramblas;5.0;Literie excellente, salle de bain agréable et très bon buffet petit déjeuner. Service de plateau repas impeccable. Et en plus, pour les amateurs, des oeuvres originales sont exposées pour la vente, avec quelques pièces sympas pour les amateurs.
26;Toulouse;Pullman Toulouse Centre Ramblas;3.0;Hôtel de standing avec des prestations à la hauteur de ses 5 étoiles évidemment... dommage tout de même qu'à ce prix l'avis soit mitigé. Un film service qui se trompe de chambre et vient nous déranger, un petit déjeuner incomplet et une réceptionniste qui nous demande de quitter la chambre à 14h30 alors que nous l'avons réservée moyennant un supplément jusqu'à 16h... et que quand je l'en informe elle me répond qu'elle n'a pas l'info mais ne s'excuse même pas... l'erreur est humaine certes mais ça fait beaucoup poir un seul client en une seule nuit dans ce type d'établissement...
27;Toulouse;Pullman Toulouse Centre Ramblas;5.0;Nous venons de passer 3 jours dans cet hôtel, tout a été absolument parfait, le personnel au top, la chambre est tout bonnement sublime, on y dort comme sur un nuage. Nous avons opté pour un petit déjeuner buffet qui ne vole pas ses 26 euros, les produits sont de grande qualité et il y en a pour tous les goûts. Bref pour la 1ère expérience dans un hôtel Pullman je n'ai qu'une hâte, c'est d'y retourner au plus vite!
